Design #,sample_size,crn_across_solns,Solver Name,Design Type,Number Stacks
0,23,True,RNDSRCH,nolhs,1
1,13,True,RNDSRCH,nolhs,1
2,15,True,RNDSRCH,nolhs,1
3,18,True,RNDSRCH,nolhs,1
4,40,True,RNDSRCH,nolhs,1
5,50,True,RNDSRCH,nolhs,1
6,35,True,RNDSRCH,nolhs,1
7,33,True,RNDSRCH,nolhs,1
8,30,True,RNDSRCH,nolhs,1
9,38,True,RNDSRCH,nolhs,1
10,48,True,RNDSRCH,nolhs,1
11,45,True,RNDSRCH,nolhs,1
12,43,True,RNDSRCH,nolhs,1
13,20,True,RNDSRCH,nolhs,1
14,10,True,RNDSRCH,nolhs,1
15,25,True,RNDSRCH,nolhs,1
16,28,True,RNDSRCH,nolhs,1
