DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
0,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
1,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
1,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
2,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
2,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
3,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
3,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
4,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
4,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
5,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
5,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
6,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
6,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
7,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
7,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
8,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
8,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
9,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
9,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
10,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
10,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
11,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
11,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
12,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
12,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
13,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
13,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
15,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
15,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
16,True,10,"(2.0, 2.0)",1000,0,-0.06412894157722208,-0.035152601145574114,0.02,1,0.02,1,0.02,1,0.02,1
16,True,10,"(2.0, 2.0)",1000,1,-0.07929158504231827,-0.049325248376923675,0.03,1,0.03,1,0.03,1,0.02,1
