Design #,sample_size,crn_across_solns,Name,Design Type,Number Stacks
0,10,True,RNDSRCH,nolhs,1
1,6,True,RNDSRCH,nolhs,1
2,7,True,RNDSRCH,nolhs,1
3,8,True,RNDSRCH,nolhs,1
4,16,True,RNDSRCH,nolhs,1
5,20,True,RNDSRCH,nolhs,1
6,14,True,RNDSRCH,nolhs,1
7,13,True,RNDSRCH,nolhs,1
8,13,True,RNDSRCH,nolhs,1
9,15,True,RNDSRCH,nolhs,1
10,19,True,RNDSRCH,nolhs,1
11,18,True,RNDSRCH,nolhs,1
12,17,True,RNDSRCH,nolhs,1
13,9,True,RNDSRCH,nolhs,1
14,5,True,RNDSRCH,nolhs,1
15,11,True,RNDSRCH,nolhs,1
16,12,True,RNDSRCH,nolhs,1
