Design #,time_horizon,gamma_shape,prices (default),demand_means (default),cost (default),gamma_scale (default),initial_inventory (default),reservation_qtys (default)
0,2,1.0,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
1,1,0.4,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
2,2,0.55,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
3,2,0.7,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
4,4,0.95,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
5,5,0.45,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
6,4,0.35,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
7,3,0.9,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
8,3,0.6,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
9,4,0.2,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
10,5,0.8,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
11,5,0.65,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
12,4,0.5,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
13,2,0.25,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
14,1,0.75,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
15,3,0.85,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
16,3,0.3,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
17,5,0.85,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
18,2,0.9,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
19,3,0.25,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
20,4,0.45,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
21,5,0.55,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
22,2,0.5,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
23,2,1.0,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
24,5,0.8,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
25,1,0.35,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
26,4,0.3,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
27,3,0.95,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
28,3,0.75,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
29,1,0.65,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
30,4,0.7,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
31,4,0.2,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
32,2,0.4,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
33,4,0.5,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
34,5,0.65,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
35,1,0.4,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
36,2,1.0,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
37,3,0.3,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
38,3,0.85,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
39,5,0.45,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
40,4,0.95,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
41,2,0.7,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
42,2,0.55,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
43,5,0.8,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
44,4,0.2,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
45,3,0.9,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
46,4,0.35,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
47,1,0.75,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
48,2,0.25,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,100,"[50, 30]"
