Design #,time_horizon,prices (default),demand_means (default),cost (default),gamma_shape (default),gamma_scale (default),initial_inventory (default),reservation_qtys (default)
0,7,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
1,3,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
2,4,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
3,5,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
4,14,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
5,18,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
6,12,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
7,11,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
8,10,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
9,13,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
10,17,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
11,16,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
12,15,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
13,6,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
14,2,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
15,8,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
16,9,"[100, 300, 400]","[50, 20, 30]",80.0,1.0,1.0,100,"[50, 30]"
