Design #,gavg,crn_across_solns,alpha,gamma,step,n_reps,n_loss,eval_pct,iter_pct,Solver Name,Design Type,Number Stacks
0,2,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
1,1,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
2,2,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
3,2,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
4,4,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
5,5,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
6,4,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
7,3,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
8,3,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
9,4,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
10,5,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
11,5,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
12,4,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
13,2,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
14,1,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
15,3,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
16,3,True,0.602,0.101,0.1,30,2,0.6666666666666666,0.1,SPSA,nolhs,1
