Design #,n_reps,crn_across_solns,alpha,gamma,step,gavg,n_loss,eval_pct,iter_pct,Name,Design Type,Number Stacks
0,17,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
1,7,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
2,9,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
3,12,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
4,36,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
5,46,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
6,30,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
7,28,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
8,25,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
9,33,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
10,43,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
11,41,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
12,38,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
13,15,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
14,4,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
15,20,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
16,22,True,0.602,0.101,0.1,1,2,0.6666666666666666,0.1,SPSA,nolhs,1
