Design #,demand_mean,lead_mean,backorder_cost,holding_cost,fixed_cost,variable_cost,s,S,n_days,warmup,Name,Design Type,Number Stacks
0,23.0,32.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
1,7.0,11.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
2,11.0,16.3,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
3,15.0,21.5,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
4,51.0,30.3,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
5,67.0,12.8,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
6,43.0,9.3,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
7,39.0,28.5,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
8,35.0,18.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
9,47.0,4.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
10,63.0,25.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
11,59.0,19.8,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
12,55.0,14.5,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
13,19.0,5.8,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
14,3.0,23.3,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
15,27.0,26.8,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
16,31.0,7.5,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,1
