Design #,demand_mean,lead_mean,backorder_cost,holding_cost,fixed_cost,variable_cost,s,S,n_days,warmup,Name,Design Type,Number Stacks
0,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
1,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
2,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
3,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
4,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
5,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
6,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
7,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
8,70,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
9,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
10,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
11,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
12,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
13,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
14,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
15,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
16,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
17,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
18,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
19,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
20,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
21,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
22,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
23,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
24,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
25,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
26,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
27,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
28,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
29,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
30,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
31,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
32,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
33,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
34,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
35,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
36,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
37,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
38,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
39,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
40,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
41,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
42,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
43,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
44,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
45,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
46,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
47,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
48,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,SSCONT,nolhs,3
