DesignPt#,demand_mean,lead_mean,backorder_cost,holding_cost,fixed_cost,variable_cost,s,S,n_days,warmup,MacroRep#,avg_backorder_costs,avg_order_costs,avg_holding_costs,on_time_rate,order_rate,stockout_rate,avg_stockout,avg_order
0,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,132.3458961434621,1112.8377373191372,1.0,0.06,0.0,0,1084.8824678621843
0,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,109.88007106539928,1069.3034855856752,1.0,0.05,0.0,0,1080.800710653993
1,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.77127278473763,1194.612463474526,1.0,0.05,0.0,0,1039.7127278473763
1,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,62.17113143147489,1244.7223732814132,1.0,0.03,0.0,0,1018.1855238579147
2,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.18128528166434,1155.2734005345294,1.0,0.05,0.0,0,1033.8128528166435
2,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.78113139328843,1201.383428362558,1.0,0.04,0.0,0,1041.7641424161054
3,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,124.17352927042884,1155.3475963281303,1.0,0.06,0.0,0,1016.7794105869071
3,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.13447828833577,1211.7142750057817,1.0,0.04,0.0,0,1033.6809786041972
4,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,25.626583167830766,174.34652721043952,872.6075480370524,0.9290942047642854,0.08,0.06,170.5248856293961,1071.6657950652468
4,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,21.49430923631576,151.05820632647274,904.2544150904671,0.9256900299131192,0.07,0.07,204.199358720228,1060.9871880462338
