Design #,lambda,crn_across_solns,n0,n_r,sensitivity,delta_threshold,delta_T,eta_0,eta_1,gamma_1,gamma_2,lambda_2,Solver Name,Design Type,Number Stacks
0,5,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
1,4,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
2,5,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
3,5,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
4,7,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
5,8,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
6,7,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
7,6,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
8,6,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
9,7,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
10,8,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
11,8,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
12,7,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
13,5,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
14,4,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
15,6,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
16,6,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,1.01,STRONG,nolhs,1
