Design #,n0,n_r,crn_across_solns,sensitivity,delta_threshold,delta_T,eta_0,eta_1,gamma_1,gamma_2,lambda,lambda_2,Name,Design Type,Number Stacks
0,30,20,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
1,8,9,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
2,13,12,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
3,19,14,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
4,68,19,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
5,90,10,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
6,57,8,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
7,52,18,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
8,46,13,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
9,63,5,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
10,85,16,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
11,79,13,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
12,74,11,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
13,24,6,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
14,2,15,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
15,35,17,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
16,41,7,True,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,STRONG,nolhs,1
