DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,7,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.02083322678244686,0.014,1,0.014,1,0.014,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,1,-0.04119104563875623,-0.02213685382637383,0.035,1,0.035,1,0.014,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,2,-0.041065216456384356,-0.019593254579717882,0.035,1,0.014,1,0.014,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,3,-0.04210133650476157,-0.02361352523862325,0.028,1,0.014,1,0.014,1,0.014,1
1,True,2,"(2.0, 2.0)",1000,0,-0.04119104563875623,-0.0353399144467238,0.004,1,0.004,1,0.004,1,0.004,1
1,True,2,"(2.0, 2.0)",1000,1,-0.04210133650476157,-0.03465213267481983,0.012,1,0.012,1,0.012,1,0.004,1
1,True,2,"(2.0, 2.0)",1000,2,-0.04253004398955946,-0.03547981116994388,0.004,1,0.004,1,0.004,1,0.004,1
1,True,2,"(2.0, 2.0)",1000,3,-0.04235326355322001,-0.03414416713137849,0.004,1,0.004,1,0.004,1,0.004,1
2,True,3,"(2.0, 2.0)",1000,0,-0.04119104563875623,-0.032414348850707576,0.006,1,0.006,1,0.006,1,0.006,1
2,True,3,"(2.0, 2.0)",1000,1,-0.04210133650476157,-0.030264260637364142,0.018,1,0.015,1,0.009,1,0.006,1
2,True,3,"(2.0, 2.0)",1000,2,-0.04178975642153316,-0.029364145115734742,0.03,1,0.027,1,0.012,1,0.006,1
2,True,3,"(2.0, 2.0)",1000,3,-0.04253004398955946,-0.0322305488313449,0.006,1,0.006,1,0.006,1,0.006,1
3,True,5,"(2.0, 2.0)",1000,0,-0.04119104563875623,-0.02656321765867515,0.01,1,0.01,1,0.01,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,1,-0.04019243996716762,-0.024283954245809238,0.01,1,0.01,1,0.01,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,2,-0.04210133650476157,-0.028312123763620876,0.025,1,0.015,1,0.015,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,3,-0.04095403451064685,-0.023374461533416855,0.01,1,0.01,1,0.01,1,0.01,1
4,True,15,"(2.0, 2.0)",1000,0,-0.04078991876523259,0.0019744211978796836,0.03,1,0.03,1,0.03,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,1,-0.03349009474655471,0.011652050920668004,0.06,1,0.045,1,0.03,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,2,-0.04119104563875623,-0.007624867869936713,0.03,1,0.03,1,0.03,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,3,-0.03408201074774941,0.002638152543858501,0.045,1,0.045,1,0.03,1,0.03,1
5,True,20,"(2.0, 2.0)",1000,0,-0.03597135781814008,0.01584371630981638,0.04,1,0.04,1,0.04,1,0.04,1
5,True,20,"(2.0, 2.0)",1000,1,-0.04078991876523259,0.01744539125500693,0.1,1,0.1,1,0.06,1,0.04,1
5,True,20,"(2.0, 2.0)",1000,2,-0.03836954158588895,0.02385902089149991,0.08,1,0.08,1,0.08,1,0.04,1
5,True,20,"(2.0, 2.0)",1000,3,-0.04119104563875623,0.021618013426979367,0.04,1,0.04,1,0.04,1,0.04,1
6,True,13,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.003727490797201952,0.026,1,0.026,1,0.026,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,1,-0.03836954158588895,-0.0012166082937484519,0.052,1,0.026,1,0.026,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,2,-0.04119104563875623,-0.0035567657139002964,0.026,1,0.026,1,0.026,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,3,-0.03457838924451099,0.003146352393644834,0.065,1,0.052,1,0.026,1,0.026,1
7,True,12,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.006578446794742768,0.024,1,0.024,1,0.024,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,1,-0.03836954158588895,-0.0005767009732014529,0.024,1,0.024,1,0.024,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,2,-0.04119104563875623,-0.01106431149978242,0.036,1,0.024,1,0.024,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,3,-0.03457838924451099,-0.0026542259995893363,0.036,1,0.036,1,0.036,1,0.024,1
8,True,11,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.009429402792283586,0.022,1,0.022,1,0.022,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,1,-0.03836954158588895,-0.002425948608338233,0.033,1,0.033,1,0.022,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,2,-0.04119104563875623,-0.016347099529377677,0.033,1,0.022,1,0.022,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,3,-0.03234671755258787,-0.0044853117933700126,0.033,1,0.033,1,0.022,1,0.022,1
9,True,14,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.0008765347996611316,0.028,1,0.028,1,0.028,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,1,-0.037704550619630725,0.010191439797891551,0.126,1,0.028,1,0.028,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,2,-0.04119104563875623,-0.0030826620139914242,0.07,1,0.07,1,0.028,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,3,-0.03457838924451099,-0.0009140993180799511,0.028,1,0.028,1,0.028,1,0.028,1
10,True,19,"(2.0, 2.0)",1000,0,-0.03597135781814008,0.013252962603418551,0.038,1,0.038,1,0.038,1,0.038,1
