Design #,eta_1,eta_2,crn_across_solns,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,Solver Name,Design Type,Number Stacks
0,0.32,1.0,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
1,0.07,0.26,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
2,0.13,0.44,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
3,0.2,0.63,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
4,0.75,0.94,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
5,1.0,0.32,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
6,0.63,0.2,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
7,0.57,0.88,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
8,0.51,0.51,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
9,0.69,0.01,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
10,0.94,0.75,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
11,0.88,0.57,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
12,0.81,0.38,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
13,0.26,0.07,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
14,0.01,0.69,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
15,0.38,0.81,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
16,0.44,0.13,True,1.5,0.5,4,True,True,0.1,ASTRODF,nolhs,1
