DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,backorder_cost,holding_cost,variable_cost,lead_mean,warmup,demand_mean,n_days,fixed_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,TRUE,0.32,1,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.129340835,0.178268175,inf,0,inf,0,0.12,1,0.056,1
1,TRUE,0.07,0.26,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
2,TRUE,0.13,0.44,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.095367503,0.150498251,inf,0,0.164,1,0.12,1,0.056,1
3,TRUE,0.2,0.63,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.095367503,0.150498251,inf,0,0.164,1,0.12,1,0.056,1
4,TRUE,0.75,0.94,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.069003875,0.155874175,inf,0,0.255,1,0.152,1,0.088,1
5,TRUE,1,0.32,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
6,TRUE,0.63,0.2,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
7,TRUE,0.57,0.88,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.080178902,0.154194413,inf,0,0.219,1,0.152,1,0.088,1
8,TRUE,0.51,0.51,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.078696721,0.153369288,inf,0,0.231,1,0.152,1,0.088,1
9,TRUE,0.69,0.01,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
10,TRUE,0.94,0.75,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.069003875,0.155874175,inf,0,0.255,1,0.152,1,0.088,1
11,TRUE,0.88,0.57,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.078696721,0.153369288,inf,0,0.231,1,0.152,1,0.088,1
12,TRUE,0.81,0.38,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.078696721,0.153369288,inf,0,0.231,1,0.152,1,0.088,1
13,TRUE,0.26,0.07,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
14,TRUE,0.01,0.69,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.095367503,0.150498251,inf,0,0.164,1,0.12,1,0.056,1
15,TRUE,0.38,0.81,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.080178902,0.154194413,inf,0,0.219,1,0.152,1,0.088,1
16,TRUE,0.44,0.13,1.5,0.5,4,TRUE,TRUE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.099087687,0.141526379,inf,0,0.12,1,0.072,1,0.056,1
17,TRUE,0.32,1,1.5,0.5,4,TRUE,FALSE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.146697319,0.264079409,inf,0,inf,0,0.528,1,0.064,1
18,TRUE,0.07,0.26,1.5,0.5,4,TRUE,FALSE,0.1,"(600, 600)",1000,4,1,2,6,20,100,100,36,0,0.117266651,0.163874584,inf,0,0.104,1,0.084,1,0.064,1
