DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,warmup,lead_mean,fixed_cost,variable_cost,holding_cost,demand_mean,backorder_cost,n_days,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.32,1.0,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.01332744424159585,-0.014775510011605548,0.12,1,0.12,1,0.104,1,0.056,1
1,True,0.07,0.26,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
2,True,0.13,0.44,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.12959280202577003,0.012377876911327359,0.12,1,0.12,1,0.104,1,0.056,1
3,True,0.2,0.63,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.12959280202577003,0.012377876911327359,0.12,1,0.12,1,0.104,1,0.056,1
4,True,0.75,0.94,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,0.026959579424195492,0.01194022640722431,0.152,1,0.152,1,0.104,1,0.088,1
5,True,1.0,0.32,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
6,True,0.63,0.2,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
7,True,0.57,0.88,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07689601716433025,0.021822782690215984,0.152,1,0.152,1,0.104,1,0.088,1
8,True,0.51,0.51,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.10225206997462484,0.03678212687378268,0.152,1,0.152,1,0.104,1,0.088,1
9,True,0.69,0.01,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
10,True,0.94,0.75,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,0.026959579424195492,0.01194022640722431,0.152,1,0.152,1,0.104,1,0.088,1
11,True,0.88,0.57,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.10225206997462484,0.03678212687378268,0.152,1,0.152,1,0.104,1,0.088,1
12,True,0.81,0.38,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.10225206997462484,0.03678212687378268,0.152,1,0.152,1,0.104,1,0.088,1
13,True,0.26,0.07,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
14,True,0.01,0.69,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.12959280202577003,0.012377876911327359,0.12,1,0.12,1,0.104,1,0.056,1
15,True,0.38,0.81,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07689601716433025,0.021822782690215984,0.152,1,0.152,1,0.104,1,0.088,1
16,True,0.44,0.13,1.5,0.5,4,True,True,0.1,"(600, 600)",1000,20,6.0,36.0,2.0,1.0,100.0,4.0,100,0,-0.07515500286488833,0.017062853212973756,0.072,1,0.072,1,0.072,1,0.056,1
