Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,3
Design Factors:,gamma_1
Fixed Factors:,crn_across_solns,eta_1,eta_2,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction
Design #,gamma_1,crn_across_solns (fixed),eta_1 (fixed),eta_2 (fixed),gamma_2 (fixed),lambda_min (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,5.19,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
1,3.44,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
2,3.88,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
3,4.31,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
4,8.25,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
5,10.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
6,7.38,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
7,6.94,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
8,6.5,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
9,7.81,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
10,9.56,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
11,9.13,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
12,8.69,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
13,4.75,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
14,3.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
15,5.63,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
16,6.06,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
17,10.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
18,4.75,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
19,6.06,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
20,7.38,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
21,9.56,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
22,5.19,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
23,4.31,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
24,9.13,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
25,3.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
26,8.25,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
27,6.94,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
28,5.63,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
29,3.44,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
30,7.81,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
31,8.69,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
32,3.88,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
33,8.69,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
34,9.13,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
35,3.44,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
36,5.19,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
37,6.06,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
38,5.63,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
39,10.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
40,8.25,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
41,4.31,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
42,3.88,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
43,9.56,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
44,7.81,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
45,6.94,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
46,7.38,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
47,3.0,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
48,4.75,TRUE,0.1,0.8,0.5,4,FALSE,TRUE,0.1
