Design #,purchase_price,sales_price,salvage_price,initial_solution,budget,order_quantity,Burr_c,Burr_k,Name,Design Type,Number Stacks
0,2.3,5.0,8,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
1,1.3,2.0,9,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
2,1.5,2.75,2,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
3,1.8,3.5,4,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
4,4.0,4.75,5,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
5,5.0,2.25,4,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
6,3.5,1.75,10,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
7,3.3,4.5,8,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
8,3.0,3.0,6,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
9,3.8,1.0,3,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
10,4.8,4.0,2,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
11,4.5,3.25,9,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
12,4.3,2.5,7,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
13,2.0,1.25,6,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
14,1.0,3.75,7,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
15,2.5,4.25,1,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
16,2.8,1.5,3,"(0.0,)",200,0.5,1,20.0,CNTNEWS-1,nolhs,1
