Design #,sample_size,crn_across_solns,Name,Design Type,Number Stacks
0,11,True,RNDSRCH,nolhs,1
1,6,True,RNDSRCH,nolhs,1
2,8,True,RNDSRCH,nolhs,1
3,9,True,RNDSRCH,nolhs,1
4,20,True,RNDSRCH,nolhs,1
5,25,True,RNDSRCH,nolhs,1
6,18,True,RNDSRCH,nolhs,1
7,16,True,RNDSRCH,nolhs,1
8,15,True,RNDSRCH,nolhs,1
9,19,True,RNDSRCH,nolhs,1
10,24,True,RNDSRCH,nolhs,1
11,23,True,RNDSRCH,nolhs,1
12,21,True,RNDSRCH,nolhs,1
13,10,True,RNDSRCH,nolhs,1
14,5,True,RNDSRCH,nolhs,1
15,13,True,RNDSRCH,nolhs,1
16,14,True,RNDSRCH,nolhs,1
