,sample_size,crn_across_solns,Solver Name,Design Type,Number Stacks
0,10,True,RNDSRCH,NOLHS,1
1,6,True,RNDSRCH,NOLHS,1
2,7,True,RNDSRCH,NOLHS,1
3,8,True,RNDSRCH,NOLHS,1
4,16,True,RNDSRCH,NOLHS,1
5,20,True,RNDSRCH,NOLHS,1
6,14,True,RNDSRCH,NOLHS,1
7,13,True,RNDSRCH,NOLHS,1
8,13,True,RNDSRCH,NOLHS,1
9,15,True,RNDSRCH,NOLHS,1
10,19,True,RNDSRCH,NOLHS,1
11,18,True,RNDSRCH,NOLHS,1
12,17,True,RNDSRCH,NOLHS,1
13,9,True,RNDSRCH,NOLHS,1
14,5,True,RNDSRCH,NOLHS,1
15,11,True,RNDSRCH,NOLHS,1
16,12,True,RNDSRCH,NOLHS,1
17,10,False,RNDSRCH,NOLHS,1
18,6,False,RNDSRCH,NOLHS,1
19,7,False,RNDSRCH,NOLHS,1
20,8,False,RNDSRCH,NOLHS,1
21,16,False,RNDSRCH,NOLHS,1
22,20,False,RNDSRCH,NOLHS,1
23,14,False,RNDSRCH,NOLHS,1
24,13,False,RNDSRCH,NOLHS,1
25,13,False,RNDSRCH,NOLHS,1
26,15,False,RNDSRCH,NOLHS,1
27,19,False,RNDSRCH,NOLHS,1
28,18,False,RNDSRCH,NOLHS,1
29,17,False,RNDSRCH,NOLHS,1
30,9,False,RNDSRCH,NOLHS,1
31,5,False,RNDSRCH,NOLHS,1
32,11,False,RNDSRCH,NOLHS,1
33,12,False,RNDSRCH,NOLHS,1
