DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,0,0.41511713621687746,0.5792538374846252,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(71.2162, 120.6645, 140.2302, 127.6553)",272.6055461045429
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,1,0.08226319038717643,0.565830485380586,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(57.0574, 93.7807, 137.101, 57.7562)",339.42226788051715
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,2,0.20638674298498172,0.583467936456442,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(59.4961, 122.3516, 147.8396, 61.735)",314.5058473793274
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,3,0.23655981627523187,0.5966778161264541,inf,0,inf,0,inf,0,0.68,1,"(20, 20, 20, 20)",156.32807439791117,"(63.2976, 124.6085, 153.339, 60.9686)",308.4489390313272
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,4,0.06318752845068515,0.5790181748556571,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(55.6926, 90.9613, 135.7128, 55.4803)",343.2514945196245
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,5,0.4159026942681194,0.5867364133082452,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(75.1493, 120.0999, 141.1392, 124.3614)",272.4478540765338
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,6,0.07251419716091839,0.5629864736896824,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(54.9386, 89.5086, 139.1632, 58.3277)",341.37926967111036
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,7,-0.0,0.5365995436142149,0.84,1,0.84,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(51.7741, 76.0756, 111.7433, 44.3776)",355.93568697429646
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,8,0.0812296741982504,0.5657198935806821,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(56.3727, 95.89, 136.4374, 56.2179)",339.62973474251964
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,9,0.07762561373527872,0.557386355664552,inf,0,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.32807439791117,"(56.389, 89.1438, 141.4477, 56.8217)",340.3532097327827
