solver,problem,mrep,,,,,,,
ASTRODF_0,CNTNEWS-1_5,0,155.1968265,176.499161,209.3647137,259.7617987,320.985954,312.1558053,272.6055461
ASTRODF_0,CNTNEWS-1_5,1,155.1968265,176.5369842,210.1272816,262.7176101,323.1133672,339.4222679,
ASTRODF_0,CNTNEWS-1_5,2,155.1968265,176.4695545,208.7681766,255.8110294,317.9257408,314.5058474,314.5058474
ASTRODF_0,CNTNEWS-1_5,3,155.1968265,176.3890577,208.1568337,251.2005214,312.7116457,308.448939,308.448939
ASTRODF_0,CNTNEWS-1_5,4,155.1968265,176.4221283,208.4521456,256.7082323,318.7402965,343.2514945,
ASTRODF_0,CNTNEWS-1_5,5,155.1968265,176.515091,209.3250263,257.1143144,316.9523355,309.472892,272.4478541
ASTRODF_0,CNTNEWS-1_5,6,155.1968265,176.6035022,210.416942,264.4663362,323.8449888,341.3792697,
ASTRODF_0,CNTNEWS-1_5,7,155.1968265,176.6821791,211.5322939,268.6397575,319.4923548,355.935687,355.935687
ASTRODF_0,CNTNEWS-1_5,8,155.1968265,176.594199,210.3734297,264.2746427,322.2525446,339.6297347,
ASTRODF_0,CNTNEWS-1_5,9,155.1968265,176.6607058,211.0310523,265.7870846,326.3619618,340.3532097,
ASTRODF_0,CNTNEWS-1_9,0,246.622314,257.5427863,275.4887182,312.6218691,366.3567815,361.3706316,
ASTRODF_0,CNTNEWS-1_9,1,246.622314,257.5427863,284.3887004,336.2116749,356.2237435,356.2237435,
ASTRODF_0,CNTNEWS-1_9,2,246.622314,257.5427863,275.5369142,313.9407696,365.2401865,364.0868989,
ASTRODF_0,CNTNEWS-1_9,3,246.622314,257.544766,284.6268328,337.1569664,345.0099798,345.0099798,
ASTRODF_0,CNTNEWS-1_9,4,246.622314,257.5446972,275.5666231,313.3812437,366.415208,366.415208,
ASTRODF_0,CNTNEWS-1_9,5,246.622314,257.5427863,284.5965956,337.158498,356.1598131,365.1403143,
ASTRODF_0,CNTNEWS-1_9,6,246.622314,257.5427863,284.5838634,336.684131,345.9739327,345.9739327,
ASTRODF_0,CNTNEWS-1_9,7,246.622314,257.5427854,275.5424568,314.1362167,370.0010372,370.0010372,
ASTRODF_0,CNTNEWS-1_9,8,246.622314,257.5427854,275.5242503,312.7013848,367.4196332,364.5091849,
ASTRODF_0,CNTNEWS-1_9,9,246.622314,257.5427863,275.5122936,313.1534522,368.2900776,368.2900776,
ASTRODF_0,CNTNEWS-1_25,0,248.8669343,261.1683592,292.3731814,358.116508,395.9977867,395.9977867,
ASTRODF_0,CNTNEWS-1_25,1,248.8669343,261.1683592,292.2535353,357.9832631,395.6251991,395.6251991,
ASTRODF_0,CNTNEWS-1_25,2,248.8669343,261.1683592,281.7145749,328.9438239,400.1969579,400.1969579,
ASTRODF_0,CNTNEWS-1_25,3,248.8669343,261.1692844,292.3938918,358.6514647,404.4623069,400.7711352,400.7711352
ASTRODF_0,CNTNEWS-1_25,4,248.8669343,261.1659786,292.4327882,358.4349984,394.6734109,394.6339662,
ASTRODF_0,CNTNEWS-1_25,5,248.8669343,261.1683592,292.4067338,358.5633087,404.5520232,404.5520232,
ASTRODF_0,CNTNEWS-1_25,6,248.8669343,261.1683592,292.4217037,358.2745435,395.5823273,395.5823273,
ASTRODF_0,CNTNEWS-1_25,7,248.8669343,261.1683592,287.8371107,352.0315128,398.8645159,398.8645159,
ASTRODF_0,CNTNEWS-1_25,8,248.8669343,261.1683592,292.3155801,358.1030006,404.838108,404.838108,
