DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value,problem_dp,solver_dp
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,0,0.415117136,0.579253837,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(71.2162, 120.6645, 140.2302, 127.6553)",272.6055461,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,1,0.08226319,0.565830485,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(57.0574, 93.7807, 137.101, 57.7562)",339.4222679,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,2,0.206386743,0.583467936,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(59.4961, 122.3516, 147.8396, 61.735)",314.5058474,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,3,0.236559816,0.596677816,inf,0,inf,0,inf,0,0.68,1,"(20, 20, 20, 20)",156.3280744,"(63.2976, 124.6085, 153.339, 60.9686)",308.448939,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,4,0.063187528,0.579018175,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(55.6926, 90.9613, 135.7128, 55.4803)",343.2514945,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,5,0.415902694,0.586736413,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(75.1493, 120.0999, 141.1392, 124.3614)",272.4478541,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,6,0.072514197,0.562986474,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(54.9386, 89.5086, 139.1632, 58.3277)",341.3792697,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,7,0,0.536599544,0.84,1,0.84,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(51.7741, 76.0756, 111.7433, 44.3776)",355.935687,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,8,0.081229674,0.565719894,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(56.3727, 95.89, 136.4374, 56.2179)",339.6297347,5a,0
0,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.675, 0.7172, 0.762, 0.8096]","[2.25, 2.3906, 2.54, 2.6988]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.2, 1.275, 1.3547, 1.4394]",3,9,0.077625614,0.557386356,inf,0,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",156.3280744,"(56.389, 89.1438, 141.4477, 56.8217)",340.3532097,5a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,0,0.069950519,0.673378093,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",245.7114522,"(51.1389, 80.4875, 107.2746, 92.9958)",361.3706316,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,1,0.111666691,0.516413969,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",220.4622188,"(75.5522, 85.579, 140.0529, 65.1916)",356.2237435,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,2,0.047934832,0.673053238,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",260.1874522,"(51.2229, 87.0856, 116.7824, 85.5842)",364.0868989,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,3,0.20255565,0.543961181,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",290.7839855,"(77.6564, 121.4843, 116.8069, 62.6943)",345.0099798,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,4,0.029063595,0.672211567,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",253.8554855,"(53.9226, 81.1624, 85.5175, 51.1907)",366.415208,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,5,0.039396768,0.51508232,1,1,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",234.2783522,"(20.4567, 60.6118, 126.195, 44.5462)",365.1403143,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,6,0.194742691,0.542132508,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",226.7941855,"(73.718, 116.7429, 120.7855, 69.4358)",345.9739327,9a,0
