solver,problem,mrep,,,,,,,
ASTRODF_0,CNTNEWS-1_5,0,"(20, 20, 20, 20)","(25.126319133061873, 21.411223755383467, 21.49939361532167, 21.050664097731314)","(37.68996155494277, 26.165329042766018, 26.560875281632, 24.490935943701885)","(62.96537711115952, 45.22053069567025, 47.048555399019875, 33.42287853555863)","(55.892812658361834, 66.19022602497895, 76.91143153411483, 44.37419422938696)","(56.84614012439779, 118.01666897458446, 151.5297960334703, 68.711757815542)","(71.21616969335616, 120.66452390188346, 140.23017252355268, 127.65530007153396)"
ASTRODF_0,CNTNEWS-1_5,1,"(20, 20, 20, 20)","(25.098405697072515, 21.448420792942514, 21.53891463416234, 21.07835750337033)","(37.31404234457955, 26.507576165060385, 26.9260925572949, 24.82831447143604)","(61.65302418086655, 46.258863218710616, 48.22418347497337, 32.91311025045385)","(55.565216495149684, 68.05424366911213, 78.06746095719899, 42.850451663115024)","(57.05738356228874, 93.78065550586105, 137.10104599816108, 57.75615365501274)",
ASTRODF_0,CNTNEWS-1_5,2,"(20, 20, 20, 20)","(25.146517964322797, 21.38355274361929, 21.469993785414875, 21.030062872378057)","(37.95203476536008, 25.956767745158373, 26.33392432607394, 24.087401375826964)","(64.51210720156311, 44.71511132840816, 46.31471630522495, 30.79016399367462)","(58.75124479478687, 67.60292541390103, 75.81425822673822, 39.4046537503526)","(59.49607864773527, 122.35162026418905, 147.83962495091106, 61.735034526126555)","(59.49607864773527, 122.35162026418905, 147.83962495091106, 61.735034526126555)"
ASTRODF_0,CNTNEWS-1_5,3,"(20, 20, 20, 20)","(25.195411636382303, 21.320536182799856, 21.403040101711817, 20.95819475741211)","(38.18150491088859, 25.676270118674466, 26.024917585866046, 23.946155079795684)","(66.41656180948752, 43.35332733107873, 44.68093258336813, 30.55889212917002)","(59.51577325860729, 67.43235653702536, 71.04185469022984, 43.94370561984304)","(63.29758837513984, 124.60853047387042, 153.33898612452316, 60.96855525246333)","(63.29758837513984, 124.60853047387042, 153.33898612452316, 60.96855525246333)"
ASTRODF_0,CNTNEWS-1_5,4,"(20, 20, 20, 20)","(25.17507474477831, 21.369809921192317, 21.455392344555555, 20.920234693354725)","(38.06683236535575, 25.896656660107077, 26.26616249674227, 23.76055679101671)","(64.15261076295491, 44.52264792116614, 46.44725097341389, 31.93369936043118)","(57.206160356927185, 66.34225706814495, 75.62101741485394, 43.159331265981294)","(55.692601956680264, 90.96126598825094, 135.71283300887927, 55.48029643046721)",
ASTRODF_0,CNTNEWS-1_5,5,"(20, 20, 20, 20)","(25.11487507863012, 21.426615865024615, 21.51574738688641, 21.062123610743775)","(37.71502211073915, 26.17252510057326, 26.559543127498706, 24.404796171005515)","(64.07046830796763, 45.391900342442085, 46.32673688241278, 31.241176700338542)","(57.32111077098627, 69.01526979255291, 73.15999872163235, 44.57649163319142)","(63.53415144227287, 122.52897793214618, 152.7063434455938, 61.749463060552465)","(75.14928026744293, 120.09990675602701, 141.1392307870439, 124.36143579495257)"
ASTRODF_0,CNTNEWS-1_5,6,"(20, 20, 20, 20)","(25.04193656719803, 21.5203075237971, 21.61529267475197, 21.131877582609416)","(37.19053184915439, 26.69597629771298, 27.123614815535944, 24.762740790204305)","(60.88160227192624, 46.73834677135497, 48.287685882387635, 34.280652353500244)","(52.99554737233473, 65.70114935591145, 78.54663064279214, 47.090433572376604)","(54.93862185395419, 89.50859225650134, 139.1632410048874, 58.32767591709773)",
ASTRODF_0,CNTNEWS-1_5,7,"(20, 20, 20, 20)","(24.938414518758343, 21.642071881493006, 21.744664576129416, 21.222531838198826)","(36.53080310187467, 27.397786055823637, 27.857035881238517, 24.831949150023558)","(58.87246657977788, 47.42258240218918, 51.145100703692144, 32.51280963442447)","(52.68681328481013, 75.9647395394369, 73.02303385160357, 45.54780012431569)","(51.774065487809516, 76.07563076710277, 111.74327666272472, 44.3776001963376)","(51.774065487809516, 76.07563076710277, 111.74327666272472, 44.3776001963376)"
ASTRODF_0,CNTNEWS-1_5,8,"(20, 20, 20, 20)","(25.050516934247558, 21.509655779455734, 21.60397543508918, 21.123947298474807)","(37.20987820142048, 26.67708749546462, 27.091047538764812, 24.762672045525953)","(60.95627807899709, 45.88053328414783, 48.86775032236663, 34.488069476938506)","(55.07249233347121, 67.98621700049225, 77.08136685197937, 47.98561116728263)","(56.37271501203015, 95.88999574198027, 136.4373838662423, 56.21790977367486)",
ASTRODF_0,CNTNEWS-1_5,9,"(20, 20, 20, 20)","(24.976451476872256, 21.598700872333715, 21.698583850818896, 21.190241875652344)","(36.85988146378369, 27.006638545130933, 27.453895287270143, 24.97380992231751)","(60.364608999866746, 47.1696485332898, 49.150361115319114, 33.44234928121112)","(53.75559586930133, 64.19563096612771, 81.60291911950003, 44.15404024253486)","(56.38896452100551, 89.14381700324702, 141.4477483357346, 56.821665998423825)",
ASTRODF_0,CNTNEWS-1_9,0,"(20, 20, 20, 20)","(22.10934721346135, 22.10934720394781, 22.10934720394781, 24.274896452680665)","(25.708421316672187, 25.7084213750396, 25.708421375039624, 31.568937819983145)","(35.19501072635109, 38.238707179730724, 38.23870679323666, 46.746566636407756)","(53.46011902041124, 80.56060114097014, 85.19519707054597, 53.19250136977722)","(51.138902844494325, 80.48748125872619, 107.27461850618609, 92.99583436970204)",
ASTRODF_0,CNTNEWS-1_9,1,"(20, 20, 20, 20)","(22.109347205286383, 22.109347205286376, 22.109347205286365, 24.27489645539345)","(27.675726447986182, 27.79801820383263, 27.798018203867592, 35.32904326496758)","(40.273125940152326, 52.69100825637281, 52.69100797229122, 45.5003563216475)","(75.55220073389364, 85.57904190985457, 140.05289728963004, 65.19159188391664)","(75.55220073389364, 85.57904190985457, 140.05289728963004, 65.19159188391664)",
ASTRODF_0,CNTNEWS-1_9,2,"(20, 20, 20, 20)","(22.109347213461362, 22.1093472039478, 22.10934720394779, 24.274896452680675)","(25.880820202503415, 25.946374296077806, 25.946374296077998, 31.231438792651613)","(36.83346365735849, 38.94787801376083, 38.947877341439025, 44.510494900563906)","(57.18726710706444, 80.5912381420589, 85.73795221088251, 50.29505013649383)","(51.22292444349174, 87.08560856210039, 116.7824374547651, 85.58421621207643)",
ASTRODF_0,CNTNEWS-1_9,3,"(20, 20, 20, 20)","(22.133107670664558, 22.13310767066453, 22.13310767066456, 24.23937868062526)","(28.007476973056846, 28.683251888515883, 28.683251888423435, 34.1178250044151)","(42.34055248622938, 52.85281702596221, 52.85281828207709, 45.41822784555858)","(77.65642383017091, 121.48426072485597, 116.8069448637873, 62.694344282796585)","(77.65642383017091, 121.48426072485597, 116.8069448637873, 62.694344282796585)",
ASTRODF_0,CNTNEWS-1_9,4,"(20, 20, 20, 20)","(22.20258970802597, 22.202589698091856, 22.202589698091877, 24.131412884655926)","(26.134141071254316, 26.088364550121934, 26.088364550121206, 30.943714633942097)","(36.023827809811365, 38.53828550825784, 38.53828694721401, 45.99578780614877)","(53.92259668746749, 81.16244450090517, 85.51750704181961, 51.19068581731482)","(53.92259668746749, 81.16244450090517, 85.51750704181961, 51.19068581731482)",
ASTRODF_0,CNTNEWS-1_9,5,"(20, 20, 20, 20)","(22.10934720528639, 22.10934720528637, 22.109347205286358, 24.274896455393453)","(27.81505694449551, 28.69629238256352, 28.69629238262563, 34.20313284737888)","(42.12619728401978, 52.93728761889767, 52.93728761841512, 45.22182327509397)","(76.91385028470935, 85.78789706135004, 140.96633199129406, 62.76104628295433)","(20.456715214468517, 60.61178309293603, 126.19495978319003, 44.546198180109776)",
ASTRODF_0,CNTNEWS-1_9,6,"(20, 20, 20, 20)","(22.109347205286387, 22.10934720528637, 22.10934720528636, 24.274896455393453)","(27.806058626415595, 28.531316518277922, 28.531316518334727, 34.4220534114385)","(40.221248422838435, 52.53377975935396, 52.533780303758164, 48.389820933055915)","(73.71804299698192, 116.7429405834499, 120.78548234503909, 69.4358164417007)","(73.71804299698192, 116.7429405834499, 120.78548234503909, 69.4358164417007)",
