DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,sales_price,num_material,salvage_price,purchase_yield,recourse_cost,process_cost,material_cost,num_product,poi_mean,total_budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,0,0.06100829484982775,0.4390417600122112,inf,0,0.716,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(64.5039, 86.0269, 127.4647, 53.2429)",345.549540702548
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,1,0.004936793890432853,0.06922286137138847,0.2014,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(49.2687, 75.8315, 120.6128, 51.892)",356.91637422843473
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,2,0.29738039087038365,0.27741267523349683,0.5584,1,0.5116,1,0.068,1,0.068,1,"(20, 20, 20, 20)",156.32807439791117,"(41.7464, 35.4345, 143.7428, 23.8124)",297.63210992828937
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,3,0.005118537566048644,0.08767070608714393,0.166,1,0.166,1,0.166,1,0.068,1,"(20, 20, 20, 20)",156.32807439791117,"(49.9177, 76.5383, 113.2311, 48.3846)",356.87953108941116
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,4,0.0050584707761960135,0.1192233505300755,0.2034,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(48.6179, 80.7097, 118.0247, 47.8182)",356.8917078492447
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,5,0.5076423504197896,0.46367924695035134,0.3452,1,0.2214,1,0.2214,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(55.805, 63.2375, 291.8994, 50.1313)",255.0077347977645
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,6,0.40952429976963534,0.28515607607688964,0.2214,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(23.9787, 93.8439, 145.2104, 0.01)",274.8982590131317
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,7,0.0022342573540163084,0.058022677958272005,0.084,1,0.084,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(50.0588, 73.4113, 116.0232, 45.0901)",357.4642333436976
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,8,0.024840897210609374,0.13604345594116496,0.2036,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(53.3868, 77.8036, 125.239, 57.1027)",352.88140771155236
0,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.675, 0.7172, 0.762, 0.8096]","[1, 1, 1, 1]","[2.25, 2.3906, 2.54, 2.6988]","[0.1, 0.1, 0.1]","[1.2, 1.275, 1.3547, 1.4394]",3,"[20, 25, 15]",1200,9,0.05181562971122116,0.10356686147406201,0.2014,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",156.32807439791117,"(57.5209, 82.5121, 127.7165, 60.3366)",347.4130808700465
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,0,0.09114531245254177,0.3719351382066466,0.6986,1,0.5504,1,0.084,1,0.084,1,"(20, 20, 20, 20)",245.71145217767116,"(54.3201, 78.5047, 132.9872, 67.7617)",371.1013739840866
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,1,0.0018972597877607014,0.06498368545407698,0.118,1,0.118,1,0.068,1,0.052,1,"(20, 20, 20, 20)",220.46221884433783,"(45.9799, 72.5073, 121.1516, 46.1394)",383.3250152870812
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,2,0.03727740638101584,0.5466872935602998,0.166,1,0.166,1,0.084,1,0.084,1,"(20, 20, 20, 20)",260.18745217767105,"(51.0389, 75.4476, 133.6858, 53.1139)",378.47926002082676
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,3,0.008354400265621119,0.07750004787961057,0.1858,1,0.102,1,0.102,1,0.052,1,"(20, 20, 20, 20)",290.78398551100446,"(48.3776, 71.4582, 120.5116, 54.6081)",382.440628830596
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,4,0.006123240084900597,0.08758031094783857,0.134,1,0.134,1,0.084,1,0.084,1,"(20, 20, 20, 20)",253.85548551100447,"(47.4741, 74.3984, 124.0052, 50.4487)",382.746214229093
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,5,0.02672819828008051,0.11719418650296784,0.148,1,0.148,1,0.1,1,0.052,1,"(20, 20, 20, 20)",234.27835217767114,"(50.8324, 73.1433, 126.9364, 37.0514)",379.9241065133415
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,6,0.007587877402925785,0.07568909041422965,0.2056,1,0.102,1,0.102,1,0.052,1,"(20, 20, 20, 20)",226.7941855110044,"(44.5467, 67.0236, 120.9736, 51.1463)",382.5456137601756
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,7,0.06924261761373846,0.20419706586022,0.2252,1,0.084,1,0.084,1,0.084,1,"(20, 20, 20, 20)",229.0985855110044,"(47.2809, 95.0881, 118.0888, 57.1104)",374.1012230259933
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,8,0.005462903004193586,0.09459595689879466,0.1858,1,0.1858,1,0.084,1,0.084,1,"(20, 20, 20, 20)",278.6123855110044,"(45.5502, 73.4947, 115.1844, 53.9249)",382.8366556826892
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.5644, 0.5644, 0.5644, 0.5644]","[1, 1, 1, 1]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.1, 0.1, 0.1]","[1.075, 1.075, 1.075, 1.075]",3,"[20, 25, 15]",1200,9,0.007585238323309134,0.08596279484849337,0.1858,1,0.118,1,0.084,1,0.084,1,"(20, 20, 20, 20)",231.64915217767106,"(43.3442, 68.3998, 121.2643, 51.2333)",382.5459752152622
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,0,0.034376750399768986,0.11743258398538191,0.1878,1,0.12,1,0.068,1,0.052,1,"(20, 20, 20, 20)",247.48693365962998,"(51.7331, 78.5676, 141.0701, 59.7532)",416.9785992751032
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,0,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 10]",4,"[0.44, 0.4565, 0.4736, 0.4914]","[1, 1, 1, 1]","[1.7, 1.7638, 1.8299, 1.8985]","[0.1, 0.1, 0.1]","[0.8, 0.83, 0.8611, 0.8934]",3,"[20, 25, 15]",1200,1,0.10089866354377315,0.11761318853615928,0.116,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",224.52413365962997,"(62.4589, 100.0022, 140.7283, 65.4852)",405.39736448289483
