DesignPt#,crn_across_solns,sample_size,initial_solution,budget,total_budget,poi_mean,mat_to_prod,process_cost,num_product,recourse_cost,num_material,material_cost,purchase_yield,sales_price,order_cost,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",0,0.17729586191428767,0.3135722719729107,inf,0,inf,0,0.815,1,0.015,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",1,0.16248838614964145,0.21620393463565057,inf,0,inf,0,0.17,1,0.01,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",2,0.07407415707265959,0.13680254113970097,0.31,1,0.31,1,0.31,1,0.045,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",3,0.050978425706035356,0.234495443028731,0.56,1,0.56,1,0.325,1,0.325,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",4,-0.0,0.06886536631008967,0.26,1,0.125,1,0.125,1,0.02,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",5,0.08696780973444906,0.09609813163710457,inf,0,0.01,1,0.01,1,0.01,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",6,0.06521437330554422,0.1383480731921173,inf,0,0.435,1,0.435,1,0.01,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",7,0.1431939700196257,0.26113598260351417,inf,0,inf,0,0.335,1,0.11,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",8,0.0403605272189571,0.16759416803385466,0.385,1,0.385,1,0.32,1,0.065,1
0,True,5,"[20, 20, 20, 20]",1000,600,"[15.0, 15.0, 15.0]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",3,"[2.325, 2.325, 2.3687, 2.3687]",4,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",20,"[0.525, 0.525, 0.5349, 0.5449]",9,0.06895100727071503,0.07826149719800787,inf,0,0.01,1,0.01,1,0.01,1
