DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,salvage_price,order_cost,material_cost,num_product,sales_price,poi_mean,recourse_cost,total_budget,process_cost,mat_to_prod,num_material,purchase_yield,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",0,-0.008759705710759999,0.22716873892317768,0.459,1,0.459,1,0.379,1,0.2,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",1,-0.0077116490012588005,0.14196345230189644,0.2,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",2,-0.02445393071663427,0.13709655718723243,0.232,1,0.232,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",3,-0.04649940940544334,0.18353411311462287,0.338,1,0.296,1,0.264,1,0.232,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",4,0.011064050821032947,0.16969900460297682,0.296,1,0.264,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",5,-0.00795174368146526,0.1441977086082729,0.264,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",6,-0.026634633162019954,0.13505434899258498,0.232,1,0.232,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",7,0.01231542243200938,0.16611993176810302,0.342,1,0.232,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",8,-0.0030043580387838983,0.145073672624998,0.2,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.525, 0.525, 0.5349, 0.5449]",20,"[1.2, 1.2, 1.2226, 1.2455]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[2.325, 2.325, 2.3687, 2.4132]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",9,-0.018323191908018004,0.13635022892233106,0.232,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",0,-0.010643319932990938,0.14103819839118095,0.264,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",1,-0.01675475623487293,0.13364319856321757,0.264,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",2,-0.017696134772453114,0.1483790984431615,0.296,1,0.264,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",3,-0.05021714014443442,0.12906642785127567,0.296,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",4,0.0029874576293010013,0.15551637409164362,0.3,1,0.268,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",5,-0.008282706798950202,0.1551140660866512,0.232,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",6,-0.034145556202495576,0.1324779648201166,0.232,1,0.232,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]",20,"[1.1625, 1.1625, 1.395, 1.674]",3,"[12.0, 12.0, 12.0]","[15.0, 15.0, 15.0]","[1.8891, 1.8891, 2.2669, 2.7203]",600,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[0.9, 0.9, 0.9, 0.9]",7,0.032495374644566886,0.17519484588518866,0.268,1,0.2,1,0.2,1,0.168,1
