DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,num_product,process_cost,mat_to_prod,order_cost,material_cost,purchase_yield,num_material,total_budget,salvage_price,sales_price,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",0,0.005218403362672994,0.16660822304808987,0.296,1,0.232,1,0.232,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",1,-0.01685897712525982,0.13657606376606138,0.2,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",2,-0.020090916190756793,0.13991324797253737,0.232,1,0.232,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",3,-0.012361388429194176,0.2031134419853005,0.379,1,0.296,1,0.264,1,0.232,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",4,0.0020948135420932198,0.18462261501159183,0.232,1,0.232,1,0.232,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",5,-0.028572459273105914,0.1294234266585859,0.264,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",6,-0.005769113262681313,0.1678333048949513,0.264,1,0.264,1,0.232,1,0.2,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",7,-0.01251596881383633,0.14485575980749338,0.232,1,0.232,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",8,-0.0176630239014995,0.13608433682737725,0.2,1,0.2,1,0.2,1,0.168,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.525, 0.525, 0.5349, 0.5449]","[12.0, 12.0, 12.0]","[2.325, 2.325, 2.3687, 2.4132]",9,-0.004728477943844049,0.1494856705181444,0.232,1,0.232,1,0.2,1,0.168,1
