Problem Design Point,Solution,material_cost,recourse_cost,salvage_price,Mean Objective Estimate,Standard Error
0_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.925, 1.11, 1.332, 1.5984]","[2.1391, 2.5669, 3.0803, 3.6963]","[0.4394, 0.5272, 0.6327, 0.7592]",470.09204962416203,5.237018047759897
0_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.925, 1.11, 1.332, 1.5984]","[2.1391, 2.5669, 3.0803, 3.6963]","[0.4394, 0.5272, 0.6327, 0.7592]",464.49733733868817,4.498641929624246
1_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.825, 0.8662, 0.9096, 0.955]","[1.9594, 2.0573, 2.1602, 2.2682]","[0.4228, 0.444, 0.4662, 0.4895]",544.4399768764889,5.859448703089752
1_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.825, 0.8662, 0.9096, 0.955]","[1.9594, 2.0573, 2.1602, 2.2682]","[0.4228, 0.444, 0.4662, 0.4895]",540.2523715755055,5.34077415864141
2_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.85, 0.9244, 1.0053, 1.0932]","[1.3281, 1.4443, 1.5707, 1.7082]","[0.3825, 0.416, 0.4524, 0.4919]",522.2399964986112,6.4036036852123805
2_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.85, 0.9244, 1.0053, 1.0932]","[1.3281, 1.4443, 1.5707, 1.7082]","[0.3825, 0.416, 0.4524, 0.4919]",522.3807224559112,6.0513497506238485
3_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.525, 0.5906, 0.6645, 0.7475]",548.9044730000445,6.193225000207823
3_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.525, 0.5906, 0.6645, 0.7475]",546.5944058075944,5.771633029568921
4_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.1, 1.3063, 1.5512, 1.842]","[2.1312, 2.5309, 3.0054, 3.5689]","[0.4675, 0.5552, 0.6592, 0.7829]",418.5847553839166,5.457604894295671
4_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.1, 1.3063, 1.5512, 1.842]","[2.1312, 2.5309, 3.0054, 3.5689]","[0.4675, 0.5552, 0.6592, 0.7829]",415.86272838336663,4.7305697522106485
5_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.2, 1.275, 1.3547, 1.4394]","[2.25, 2.3906, 2.54, 2.6988]","[0.675, 0.7172, 0.762, 0.8096]",496.19630685397783,5.814391621292513
5_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.2, 1.275, 1.3547, 1.4394]","[2.25, 2.3906, 2.54, 2.6988]","[0.675, 0.7172, 0.762, 0.8096]",493.25780902301113,5.262458727232873
6_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.05, 1.0894, 1.1302, 1.1726]","[2.625, 2.7234, 2.8256, 2.9315]","[0.4856, 0.5038, 0.5227, 0.5423]",490.90552215867217,5.538286913844413
6_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.05, 1.0894, 1.1302, 1.1726]","[2.625, 2.7234, 2.8256, 2.9315]","[0.4856, 0.5038, 0.5227, 0.5423]",485.4819553831889,4.813752492275508
7_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.025, 1.2044, 1.4151, 1.6628]","[2.3062, 2.7098, 3.1841, 3.7413]","[0.6022, 0.7076, 0.8314, 0.9769]",497.7348704011081,5.2596871538786205
7_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.025, 1.2044, 1.4151, 1.6628]","[2.3062, 2.7098, 3.1841, 3.7413]","[0.6022, 0.7076, 0.8314, 0.9769]",491.35902526839493,4.54925485241689
8_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.0, 1.1, 1.21, 1.331]","[2.0, 2.2, 2.42, 2.662]","[0.5, 0.55, 0.605, 0.6655]",497.94067443575,5.776981449995726
8_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.0, 1.1, 1.21, 1.331]","[2.0, 2.2, 2.42, 2.662]","[0.5, 0.55, 0.605, 0.6655]",494.88060645775,5.218315074895039
9_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.075, 1.075, 1.075, 1.075]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.5644, 0.5644, 0.5644, 0.5644]",524.4296227545444,6.263251021800734
9_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.075, 1.075, 1.075, 1.075]","[1.8141, 1.8141, 1.8141, 1.8141]","[0.5644, 0.5644, 0.5644, 0.5644]",523.4456476773444,5.871508420243101
10_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.175, 1.3512, 1.5539, 1.787]","[1.9094, 2.1958, 2.5251, 2.9039]","[0.5728, 0.6587, 0.7575, 0.8712]",445.19484644235547,5.785537803646921
10_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.175, 1.3512, 1.5539, 1.787]","[1.9094, 2.1958, 2.5251, 2.9039]","[0.5728, 0.6587, 0.7575, 0.8712]",444.45247494867215,5.2442618168035375
11_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.15, 1.2794, 1.4233, 1.5834]","[2.8031, 3.1185, 3.4693, 3.8596]","[0.6325, 0.7037, 0.7828, 0.8709]",477.3836073475053,5.1890520116132235
11_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.15, 1.2794, 1.4233, 1.5834]","[2.8031, 3.1185, 3.4693, 3.8596]","[0.6325, 0.7037, 0.7828, 0.8709]",470.35125099292765,4.368612597158384
12_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.125, 1.2094, 1.3001, 1.3976]","[2.4609, 2.6455, 2.8439, 3.0572]","[0.45, 0.4838, 0.52, 0.559]",444.4420126666389,5.512580779597471
