DesignPt#,crn_across_solns,sample_size,initial_solution,budget,purchase_yield,order_cost,recourse_cost,salvage_price,num_product,mat_to_prod,sales_price,num_material,material_cost,total_budget,poi_mean,process_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",0,0.18356279199865333,0.2939760405465319,inf,0,inf,0,0.53,1,0.03,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",1,0.06293233829156698,0.2145147480169296,inf,0,0.64,1,0.64,1,0.04,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",2,0.09736917281906994,0.22777214445813965,inf,0,0.35,1,0.35,1,0.03,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",3,0.17048586271940697,0.22363950838513502,inf,0,inf,0,0.35,1,0.09,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",4,0.05299251563996933,0.22686273234284351,inf,0,0.64,1,0.11,1,0.11,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",5,0.06148401261496958,0.13946475167229858,inf,0,0.07,1,0.07,1,0.06,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",6,0.08805579885019875,0.35229633008599337,inf,0,0.68,1,0.68,1,0.15,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",7,0.010696140886655527,0.05765519511858692,0.16,1,0.16,1,0.16,1,0.02,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",8,-0.0,0.1706617492941793,0.56,1,0.56,1,0.29,1,0.05,1
0,True,10,"[20, 20, 20, 20]",1000,"[0.9, 0.9, 0.9, 0.9]",20,"[2, 2, 2.2, 42]","[0.5, 0.5, 0.55, 0.605]",3,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[12.0, 12.0, 12.0]",4,"[1, 1, 1.1, 1.21]",600,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]",9,0.11072760919461823,0.15519122873488733,inf,0,inf,0,0.05,1,0.05,1
