DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,num_product,purchase_yield,num_material,mat_to_prod,material_cost,recourse_cost,process_cost,salvage_price,total_budget,poi_mean,sales_price,order_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,0,0.036255374389454774,0.5466925057724209,1.0,1,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",412.6680666666667,"(57.3514, 87.1401, 127.9962, 86.679)",533.4943538166609
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,1,0.030522321728547713,0.5501208863051853,1.0,1,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",332.6186444444445,"(57.5227, 86.4103, 127.237, 85.9761)",534.2299002006522
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,2,-0.0,0.5481782327194686,1.0,1,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",416.5908888888888,"(64.3677, 89.9383, 136.5867, 64.4527)",538.1458913324866
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,3,0.2216590725584602,0.5487282993910187,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",392.0080333333334,"(46.6401, 60.8141, 62.1841, 38.5188)",509.70719750869046
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,4,0.21376697473255984,0.5449329007006513,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",389.43396666666666,"(45.9215, 60.5622, 62.2613, 41.1525)",510.7197477783801
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,5,0.22208849037267597,0.5489262328591824,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",377.9356111111111,"(46.2852, 60.8893, 62.1207, 38.5067)",509.65210352313863
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,6,0.1652147289120826,0.5369608684999186,inf,0,inf,0,0.84,1,0.52,1,"(20, 20, 20, 20)",393.27289999999994,"(40.2554, 91.2094, 137.5947, 111.3259)",516.9489647348937
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,7,0.003082592251795075,0.5436733222603738,1.0,1,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",352.94758888888884,"(64.0592, 83.0687, 138.5726, 68.8083)",537.7503970438001
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,8,0.060465457034149114,0.5436741531248556,inf,0,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",515.2465666666667,"(63.0978, 109.5333, 122.6238, 73.243)",530.3882182552587
0,True,0.45,0.725,2.875,0.8,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[1, 1, 1, 1]",4,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.875, 0.9844, 1.1074, 1.2458]","[1.5859, 1.7842, 2.0072, 2.2581]","[0.1, 0.1, 0.1]","[0.525, 0.5906, 0.6645, 0.7475]",1200,"[20, 25, 15]","[6, 12, 20]",0,9,0.2125704266087141,0.5443764585864908,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",423.73002222222226,"(44.7303, 60.7121, 62.3476, 41.6334)",510.87326401097425
