DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,process_cost,num_material,salvage_price,poi_mean,sales_price,material_cost,purchase_yield,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",0,0.5647388094153376,0.3498071247750348,0.823,1,0.505,1,0.505,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",1,-0.02494257646066743,0.1670739298850514,0.544,1,0.3,1,0.232,1,0.2,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",2,-0.03684495070434304,0.08639039576785554,0.204,1,0.204,1,0.136,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",3,-0.006579074653707336,0.21141392646514845,0.728,1,0.236,1,0.168,1,0.136,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",4,-0.012483612610509332,0.13097330547652453,0.268,1,0.168,1,0.168,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",5,0.8990203297070808,0.3051860693030855,0.268,1,0.168,1,0.168,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",6,-7.475448177378983e-05,0.19058287933749243,0.2,1,0.2,1,0.2,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",7,0.027399994276069116,0.23016617698525466,0.869,1,0.541,1,0.296,1,0.104,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",8,-0.020054488444183713,0.18111214546829082,0.461,1,0.461,1,0.2,1,0.136,1
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",9,-0.006148261492426565,0.20435725662361826,0.424,1,0.3,1,0.3,1,0.136,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",0,0.013092882171244243,0.26423284878220177,0.461,1,0.264,1,0.264,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",1,-0.011524054046688593,0.24039633755528225,0.541,1,0.264,1,0.264,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",2,0.7520027625017265,0.6082093286101082,0.2,1,0.2,1,0.168,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",3,-0.007915162499191983,0.2488083479492449,0.628,1,0.588,1,0.506,1,0.136,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",4,0.0073639547345976586,0.26458975339480123,0.586,1,0.586,1,0.2,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",5,-0.0,0.5480155496204853,0.236,1,0.236,1,0.168,1,0.136,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",6,0.006507889839487633,0.1483407337873068,0.296,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",7,-0.012012917767938603,0.13628807687323932,0.296,1,0.2,1,0.168,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",8,-0.006365151241602936,0.1340638274894096,0.2,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",9,0.3308653444811036,0.32460382264440646,0.586,1,0.586,1,0.424,1,0.168,1
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",0,0.25878020106853294,0.6150038623717745,0.379,1,0.379,1,0.264,1,0.232,1
