DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,process_cost,num_material,salvage_price,poi_mean,sales_price,material_cost,purchase_yield,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",0,0.5647388094153376,0.3498071247750348,0.823,1,0.505,1,0.505,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",1,-0.0249425764606674,0.1670739298850514,0.544,1,0.3,1,0.232,1,0.2,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",2,-0.036844950704343,0.0863903957678555,0.204,1,0.204,1,0.136,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",3,-0.0065790746537073,0.2114139264651484,0.728,1,0.236,1,0.168,1,0.136,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",4,-0.0124836126105093,0.1309733054765245,0.268,1,0.168,1,0.168,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",5,0.8990203297070808,0.3051860693030855,0.268,1,0.168,1,0.168,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",6,-7.475448177378983e-05,0.1905828793374924,0.2,1,0.2,1,0.2,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",7,0.0273999942760691,0.2301661769852546,0.869,1,0.541,1,0.296,1,0.104,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",8,-0.0200544884441837,0.1811121454682908,0.461,1,0.461,1,0.2,1,0.136,1,0
0,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.525, 0.525, 0.5349, 0.5449]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.2, 1.2, 1.2226, 1.2455]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.325, 2.325, 2.3687, 2.4132]",9,-0.0061482614924265,0.2043572566236182,0.424,1,0.3,1,0.3,1,0.136,1,0
