Problem Design Point,Default Average Optimality Gap,Average Best Optimality Gap,Best Solver,c_m1,Mratio,Rratio,Sratio,Difference btwn Best and Default Avg Optimality Gap
0,-0.01112471080354115,-0.01464667783428926,8,1.2,1.0188,1.9375,0.4375,0.0035219670307481098
1,-0.00498001005352318,-0.013078764236185536,3,1.1625,1.2,1.625,0.475,0.008098754182662357
2,0.0015201038959483802,-0.00963984132746527,6,1.15,1.0875,2.40625,0.4313,0.01115994522341365
3,-0.00433638358699567,-0.01062975931473321,0,1.025,1.175,2.5,0.4813,0.006293375727737541
4,-0.02534356570670352,-0.014254673479640208,16,1.175,1.0063,1.96875,0.4438,-0.011088892227063312
5,-0.012128471071934935,-0.011338075777847753,2,1.1875,1.1875,1.8125,0.4563,-0.0007903952940871827
6,-0.008454576536333209,-0.00990186869242846,2,1.075,1.0938,2.46875,0.45,0.0014472921560952506
7,-0.00564722293802883,-0.018001658024460552,3,1.0125,1.1375,2.4375,0.4688,0.012354435086431722
8,-0.00868587512720231,-0.015188178095015983,3,1.0625,1.05,1.71875,0.5063,0.006502302967813673
9,-0.00879787665770267,-0.016684781585683157,0,1.1,1.1313,1.78125,0.5375,0.007886904927980488
10,-0.015353201007949235,-0.01685904234504105,0,1.0875,1.0438,2.25,0.5938,0.0015058413370918136
11,-0.00974596087195537,-0.01209075476450453,3,1.1125,1.1438,2.15625,0.5875,0.002344793892549159
12,-0.009484258847178689,-0.015039922624653018,0,1.0375,1.0313,1.6875,0.5125,0.005555663777474329
13,-0.00852627173621918,-0.01603516483565793,2,1.1375,1.1188,1.875,0.575,0.00750889309943875
14,-0.00517977245593798,-0.014001274072566511,0,1.05,1.0375,2.34375,0.5813,0.008821501616628532
15,-0.0164390776730117,-0.012690065458635491,0,1.125,1.125,2.09375,0.6,-0.0037490122143762072
16,-0.00898002831897551,-0.012258250148713328,8,1.0,1.1,2.0,0.5,0.003278221829737818
17,-0.0137642702658892,-0.017840998141442972,0,0.8,1.1813,2.0625,0.5625,0.004076727875553772
18,-0.00825727846346071,-0.01643805118383245,3,0.8375,1.0,2.375,0.525,0.00818077272037174
19,-0.03809010347604784,-0.03858269841186576,8,0.85,1.1125,1.59375,0.5688,0.0004925949358179221
20,-0.030734739897376906,-0.041347478040370124,13,0.975,1.025,1.5,0.5188,0.010612738142993218
21,-0.01142661709025484,-0.014082155818420488,2,0.825,1.1938,2.03125,0.5563,0.0026555387281656483
22,-0.014890052550310479,-0.017561723159544913,6,0.8125,1.0125,2.1875,0.5438,0.0026716706092344347
23,-0.019696779573139162,-0.033200169423359335,3,0.925,1.1063,1.53125,0.55,0.013503389850220173
24,-0.03676668459814199,-0.03353745385627317,1,0.9875,1.0625,1.5625,0.5313,-0.003229230741868816
25,-0.01658200584207619,-0.012182561572391861,0,0.9375,1.15,2.28125,0.4938,-0.004399444269684329
26,-0.0038787686420332693,-0.0107674821278402,0,0.9,1.0688,2.21875,0.4625,0.006888713485806931
27,-0.012829116489195772,-0.015109226029846063,16,0.9125,1.1563,1.75,0.4063,0.002280109540650291
28,-0.014183092391379899,-0.01810080725340192,0,0.8875,1.0563,1.84375,0.4125,0.003917714862022022
29,-0.009283696600084079,-0.01132083946655309,8,0.9625,1.1688,2.3125,0.4875,0.0020371428664690116
30,-0.005233313842441969,-0.01323278479087776,8,0.8625,1.0813,2.125,0.425,0.00799947094843579
31,-0.006673908303286751,-0.01624707313595495,0,0.95,1.1625,1.65625,0.4188,0.009573164832668199
32,-0.00863418410231789,-0.01637944998651271,2,0.875,1.075,1.90625,0.4,0.007745265884194819
