solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
0.0,0.0,-0.011930693466189548,1.5,0.5,0.1,0.8
1.0,0.0,-0.006730794162057773,1.1,0.3,0.5,0.7
2.0,0.0,-0.01145755755352864,1.3,0.5,0.1,0.6
3.0,0.0,-0.0105133569869217,1.4,0.6,0.2,0.9
4.0,0.0,0.6325594967236634,2.5,0.9,0.3,0.6
5.0,0.0,0.02059655426831631,3.0,0.4,0.3,0.8
6.0,0.0,0.002667531118237549,2.3,0.3,0.5,0.6
7.0,0.0,0.10018656071713225,2.1,0.8,0.4,0.9
8.0,0.0,-0.01464667783428926,2.0,0.5,0.3,0.7
9.0,0.0,0.003895893761954451,2.4,0.1,0.2,0.8
10.0,0.0,0.28502682612219704,2.9,0.7,0.2,0.7
11.0,0.0,0.087968183167113,2.8,0.6,0.5,0.8
12.0,0.0,-0.004317247065690889,2.6,0.4,0.4,0.5
13.0,0.0,-0.013776481805624402,1.5,0.2,0.3,0.9
14.0,0.0,-0.010571791950956722,1.0,0.7,0.4,0.6
15.0,0.0,0.026652129569104854,1.8,0.8,0.1,0.8
16.0,0.0,-0.01281745464626326,1.9,0.2,0.2,0.5
0.0,1.0,-0.01023794526837507,1.5,0.5,0.1,0.8
1.0,1.0,-0.003988091138675237,1.1,0.3,0.5,0.7
2.0,1.0,-0.011698311672075312,1.3,0.5,0.1,0.6
3.0,1.0,-0.013078764236185536,1.4,0.6,0.2,0.9
4.0,1.0,0.8716140020634334,2.5,0.9,0.3,0.6
5.0,1.0,-0.01145475799961297,3.0,0.4,0.3,0.8
6.0,1.0,-0.0034300764469758797,2.3,0.3,0.5,0.6
7.0,1.0,0.08240937185915354,2.1,0.8,0.4,0.9
8.0,1.0,-0.00799540393438481,2.0,0.5,0.3,0.7
9.0,1.0,0.0025571709409451795,2.4,0.1,0.2,0.8
10.0,1.0,0.4964649275786986,2.9,0.7,0.2,0.7
11.0,1.0,0.19646234300883209,2.8,0.6,0.5,0.8
12.0,1.0,-0.0060133611119760925,2.6,0.4,0.4,0.5
13.0,1.0,-0.008763114268711769,1.5,0.2,0.3,0.9
14.0,1.0,0.015969531130529853,1.0,0.7,0.4,0.6
15.0,1.0,0.05759966518803913,1.8,0.8,0.1,0.8
16.0,1.0,-0.0049106442611632,1.9,0.2,0.2,0.5
0.0,2.0,-0.0080723724457167,1.5,0.5,0.1,0.8
1.0,2.0,0.22085367819850327,1.1,0.3,0.5,0.7
2.0,2.0,-0.0020780746247077804,1.3,0.5,0.1,0.6
3.0,2.0,-0.009371954079613378,1.4,0.6,0.2,0.9
4.0,2.0,0.880052917465959,2.5,0.9,0.3,0.6
