DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,material_cost,mat_to_prod,salvage_price,order_cost,poi_mean,process_cost,purchase_yield,sales_price,total_budget,recourse_cost,num_product,num_material,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,0,-0.0086946929078469,0.2272182887564697,0.459,1,0.459,1,0.379,1,0.2,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,1,-0.007646703743772,0.142018493467242,0.2,1,0.2,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,2,-0.0243879064483034,0.1371519120154762,0.232,1,0.232,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,3,-0.0464319643444768,0.1776963192434824,0.338,1,0.296,1,0.264,1,0.232,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,4,0.0111277860174266,0.1697522582603706,0.296,1,0.264,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,5,-0.0078867829502952,0.144252605779698,0.264,1,0.2,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,6,-0.0265684683512215,0.1351098354375836,0.232,1,0.232,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,7,0.0123790769796862,0.1661734160904961,0.342,1,0.232,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,8,-0.0029397161579862,0.1451285133420705,0.2,1,0.2,1,0.2,1,0.168,1,0,0
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.2, 1.2, 1.2226, 1.2455]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.525, 0.525, 0.5349, 0.5449]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.325, 2.325, 2.3687, 2.4132]",3,4,9,-0.0182575627551063,0.1364056318501293,0.232,1,0.232,1,0.2,1,0.168,1,0,0
