DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,recourse_cost,material_cost,sales_price,order_cost,salvage_price,process_cost,poi_mean,total_budget,mat_to_prod,purchase_yield,num_material,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,0,0.006670225,0.189300314,0.268,1,0.2,1,0.2,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,1,0.00351411,0.170191251,0.264,1,0.264,1,0.232,1,0.2,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,2,0.001473727,0.147840674,0.232,1,0.2,1,0.2,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,3,0.031096153,0.178784767,0.463,1,0.2,1,0.2,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,4,0.01110275,0.16821659,0.338,1,0.264,1,0.232,1,0.136,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,5,0.004893427,0.148852057,0.268,1,0.2,1,0.2,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,6,0.004958014,0.147395659,0.268,1,0.2,1,0.2,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,7,0.013211522,0.166754643,0.268,1,0.232,1,0.232,1,0.168,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,8,0.003510446,0.20158655,0.378,1,0.378,1,0.338,1,0.2,1,0,default
0,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[2.1391, 2.5669, 3.0803, 3.6963]","[0.925, 1.11, 1.332, 1.5984]","[6, 12, 20]",0,"[0.4394, 0.5272, 0.6327, 0.7592]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,9,0.019587448,0.18346365,0.342,1,0.342,1,0.2,1,0.168,1,0,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,0,0.004738952,0.165055676,0.264,1,0.264,1,0.232,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,1,0.004893219,0.153029532,0.264,1,0.2,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,2,0.004419377,0.150201976,0.232,1,0.2,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,3,0.029702037,0.169005002,0.264,1,0.264,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,4,0.017815496,0.16584586,0.383,1,0.2,1,0.2,1,0.136,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,5,0.003662243,0.152480863,0.264,1,0.2,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,6,0.002000401,0.147689005,0.264,1,0.2,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,7,0.022987581,0.163860236,0.264,1,0.2,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,8,0.014300523,0.16056175,0.264,1,0.264,1,0.2,1,0.168,1,1,default
1,TRUE,0.1,0.8,1.5,0.5,4,TRUE,TRUE,0.1,"[20, 20, 20, 20]",1000,"[1.9594, 2.0573, 2.1602, 2.2682]","[0.825, 0.8662, 0.9096, 0.955]","[6, 12, 20]",0,"[0.4228, 0.444, 0.4662, 0.4895]","[0.1, 0.1, 0.1]","[20, 25, 15]",600,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]",4,3,9,0.016700803,0.188708305,0.379,1,0.296,1,0.2,1,0.168,1,1,default
