c_m1,Mratio,Rratio,Sratio
1.2,1.0188,1.9375,0.4375
1.1625,1.2,1.625,0.475
1.15,1.0875,2.40625,0.4313
1.025,1.175,2.5,0.4813
1.175,1.0063,1.96875,0.4438
1.1875,1.1875,1.8125,0.4563
1.075,1.0938,2.46875,0.45
1.0125,1.1375,2.4375,0.4688
1.0625,1.05,1.71875,0.5063
1.1,1.1313,1.78125,0.5375
1.0875,1.0438,2.25,0.5938
1.1125,1.1438,2.15625,0.5875
1.0375,1.0313,1.6875,0.5125
1.1375,1.1188,1.875,0.575
1.05,1.0375,2.34375,0.5813
1.125,1.125,2.09375,0.6
1,1.1,2,0.5
0.8,1.1813,2.0625,0.5625
0.8375,1,2.375,0.525
0.85,1.1125,1.59375,0.5688
0.975,1.025,1.5,0.5188
0.825,1.1938,2.03125,0.5563
0.8125,1.0125,2.1875,0.5438
0.925,1.1063,1.53125,0.55
0.9875,1.0625,1.5625,0.5313
0.9375,1.15,2.28125,0.4938
0.9,1.0688,2.21875,0.4625
0.9125,1.1563,1.75,0.4063
0.8875,1.0563,1.84375,0.4125
0.9625,1.1688,2.3125,0.4875
0.8625,1.0813,2.125,0.425
0.95,1.1625,1.65625,0.4188
0.875,1.075,1.90625,0.4
