DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.917,inf,0,inf,0,inf,0,inf,0
0,True,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
0,True,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
0,True,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
0,True,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
1,True,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.911,inf,0,inf,0,inf,0,inf,0
1,True,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.911,inf,0,inf,0,inf,0,inf,0
1,True,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.911,inf,0,inf,0,inf,0,inf,0
1,True,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.911,inf,0,inf,0,inf,0,inf,0
1,True,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.911,inf,0,inf,0,inf,0,inf,0
2,True,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.4601769643116901,0.9255516188830781,inf,0,inf,0,inf,0,1.0,1
2,True,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.4150243425119676,0.9219180605543176,inf,0,inf,0,inf,0,1.0,1
