DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,variable_cost,n_days,backorder_cost,demand_mean,warmup,holding_cost,fixed_cost,lead_mean,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.13079018108917181,0.1963468950748572,inf,0,inf,0,0.152,1,0.072,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.3241070808917832,0.3592704905856481,inf,0,inf,0,inf,0,0.088,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.44311199289346215,0.49133792892714484,inf,0,inf,0,inf,0,0.194,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.6937779439143049,0.7052453393444447,inf,0,inf,0,inf,0,inf,0
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.22771203376039853,0.3086116130057748,inf,0,inf,0,inf,0,0.104,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.12502159171318075,0.17578350945679522,inf,0,0.174,1,0.136,1,0.056,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.649290854156272,0.6701300273201141,inf,0,inf,0,inf,0,inf,0
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4888736125642069,0.560420510011185,inf,0,inf,0,inf,0,1.0,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.45499904159058946,0.48507377404166246,inf,0,inf,0,inf,0,0.104,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.48192976275836813,0.5113817415164931,inf,0,inf,0,inf,0,0.056,1
