DesignPt#,crn_across_solns,sample_size,initial_solution,budget,sales_price,purchase_price,Burr_k,salvage_price,Burr_c,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(0.0,)",1000,9.0,2.25,20.0,1.0,2.0,0,0.22088154717789585,0.25645405868422394,inf,0,inf,0,inf,0,0.05,1
0,True,10,"(0.0,)",1000,9.0,2.25,20.0,1.0,2.0,1,0.6600242984061088,0.6564030902470475,inf,0,inf,0,inf,0,0.03,1
0,True,10,"(0.0,)",1000,9.0,2.25,20.0,1.0,2.0,2,-0.0,-0.1551078928996606,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(0.0,)",1000,9.0,2.25,20.0,1.0,2.0,3,0.47588986644343856,0.4988199187608222,inf,0,inf,0,inf,0,0.08,1
0,True,10,"(0.0,)",1000,9.0,2.25,20.0,1.0,2.0,4,0.33103271729638606,0.35545413384191377,inf,0,inf,0,inf,0,0.02,1
1,True,10,"(0.0,)",1000,9.0,1.25,20.0,1.0,2.0,0,0.21334280299267852,0.23039421555336342,inf,0,inf,0,inf,0,0.02,1
1,True,10,"(0.0,)",1000,9.0,1.25,20.0,1.0,2.0,1,0.4721083392496917,0.4861394513961933,inf,0,inf,0,inf,0,0.03,1
1,True,10,"(0.0,)",1000,9.0,1.25,20.0,1.0,2.0,2,-0.0,-0.07536412780688742,0.03,1,0.03,1,0.03,1,0.03,1
1,True,10,"(0.0,)",1000,9.0,1.25,20.0,1.0,2.0,3,0.4074813566051074,0.4229359402581242,inf,0,inf,0,inf,0,0.02,1
1,True,10,"(0.0,)",1000,9.0,1.25,20.0,1.0,2.0,4,0.2884268103782785,0.3072657298722455,inf,0,inf,0,inf,0,0.03,1
2,True,10,"(0.0,)",1000,9.0,1.5,20.0,1.0,2.0,0,0.20660439894962904,0.22116568387718788,inf,0,inf,0,0.05,1,0.02,1
2,True,10,"(0.0,)",1000,9.0,1.5,20.0,1.0,2.0,1,0.5056742577826112,0.5157161850235391,inf,0,inf,0,inf,0,0.03,1
2,True,10,"(0.0,)",1000,9.0,1.5,20.0,1.0,2.0,2,-0.0,-0.0813188516213131,0.03,1,0.03,1,0.03,1,0.03,1
2,True,10,"(0.0,)",1000,9.0,1.5,20.0,1.0,2.0,3,0.4310283139404507,0.44148215154468956,inf,0,inf,0,inf,0,0.02,1
2,True,10,"(0.0,)",1000,9.0,1.5,20.0,1.0,2.0,4,0.2902959168735973,0.3042714706853267,inf,0,inf,0,inf,0,0.02,1
3,True,10,"(0.0,)",1000,9.0,1.75,20.0,1.0,2.0,0,0.20545159866606127,0.22982991544041598,inf,0,inf,0,inf,0,0.02,1
3,True,10,"(0.0,)",1000,9.0,1.75,20.0,1.0,2.0,1,0.557507611016424,0.56412627977235,inf,0,inf,0,inf,0,0.03,1
3,True,10,"(0.0,)",1000,9.0,1.75,20.0,1.0,2.0,2,-0.17372072198735836,-0.13791729948231146,0.04,1,0.04,1,0.03,1,0.03,1
3,True,10,"(0.0,)",1000,9.0,1.75,20.0,1.0,2.0,3,0.4551365969377148,0.47014291126413754,inf,0,inf,0,inf,0,0.15,1
3,True,10,"(0.0,)",1000,9.0,1.75,20.0,1.0,2.0,4,0.31413227954185147,0.32588481318778495,inf,0,inf,0,inf,0,0.02,1
4,True,10,"(0.0,)",1000,9.0,4.0,20.0,1.0,2.0,0,0.29863090002916753,0.42502165638099576,inf,0,inf,0,inf,0,0.11,1
4,True,10,"(0.0,)",1000,9.0,4.0,20.0,1.0,2.0,1,0.7921948908314967,0.7643065393630593,inf,0,inf,0,inf,0,inf,0
4,True,10,"(0.0,)",1000,9.0,4.0,20.0,1.0,2.0,2,-0.4249238057037886,-0.30094979451181153,0.13,1,0.08,1,0.08,1,0.04,1
4,True,10,"(0.0,)",1000,9.0,4.0,20.0,1.0,2.0,3,0.6756373007783135,0.7126744195910159,inf,0,inf,0,inf,0,inf,0
4,True,10,"(0.0,)",1000,9.0,4.0,20.0,1.0,2.0,4,0.21682945925609645,0.1757652735051683,0.17,1,0.17,1,0.17,1,0.02,1
5,True,10,"(0.0,)",1000,9.0,5.0,20.0,1.0,2.0,0,0.44237510158058396,0.40263874398855287,inf,0,inf,0,inf,0,0.11,1
5,True,10,"(0.0,)",1000,9.0,5.0,20.0,1.0,2.0,1,0.9332052684497896,0.8879589143605393,inf,0,inf,0,inf,0,inf,0
5,True,10,"(0.0,)",1000,9.0,5.0,20.0,1.0,2.0,2,-0.5273826526750434,-0.2415111058287666,0.13,1,0.13,1,0.13,1,0.02,1
5,True,10,"(0.0,)",1000,9.0,5.0,20.0,1.0,2.0,3,0.9000519304970133,0.9007648333183211,inf,0,inf,0,inf,0,inf,0
5,True,10,"(0.0,)",1000,9.0,5.0,20.0,1.0,2.0,4,-0.06412551731199494,0.029502520407296215,0.17,1,0.17,1,0.17,1,0.02,1
6,True,10,"(0.0,)",1000,9.0,3.5,20.0,1.0,2.0,0,0.28024522902376725,0.37015875567892953,inf,0,inf,0,inf,0,0.05,1
6,True,10,"(0.0,)",1000,9.0,3.5,20.0,1.0,2.0,1,0.722005578593007,0.7951981852090004,inf,0,inf,0,inf,0,0.03,1
6,True,10,"(0.0,)",1000,9.0,3.5,20.0,1.0,2.0,2,-0.35385744926899104,-0.2540868923089191,0.08,1,0.08,1,0.08,1,0.04,1
6,True,10,"(0.0,)",1000,9.0,3.5,20.0,1.0,2.0,3,0.5990285339225401,0.6287477752020081,inf,0,inf,0,inf,0,inf,0
6,True,10,"(0.0,)",1000,9.0,3.5,20.0,1.0,2.0,4,0.2956179137921092,0.3341340629970675,inf,0,0.17,1,0.17,1,0.02,1
7,True,10,"(0.0,)",1000,9.0,3.25,20.0,1.0,2.0,0,0.2896165170637938,0.34193334869135716,inf,0,inf,0,inf,0,0.05,1
7,True,10,"(0.0,)",1000,9.0,3.25,20.0,1.0,2.0,1,0.8897807326782107,0.8930178036006293,inf,0,inf,0,inf,0,0.03,1
7,True,10,"(0.0,)",1000,9.0,3.25,20.0,1.0,2.0,2,-0.3326911941094814,-0.24381968132480147,0.08,1,0.08,1,0.04,1,0.04,1
