DesignPt#,crn_across_solns,sample_size,initial_solution,budget,lead_reg,lead_exp,mu,cost_exp,cost_reg,holding_cost,n_days,penalty_cost,st_dev,initial_inv,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,0,-0.4074380155789912,0.2543699720810072,0.64,1,0.64,1,0.64,1,0.28,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,1,0.5978067095240586,0.6425113532264249,inf,0,inf,0,inf,0,inf,0
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,2,0.0,0.12,0.12,1,0.12,1,0.12,1,0.12,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,3,0.23790569609559992,0.39032455687647993,inf,0,inf,0,inf,0,0.2,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,4,-0.22256806476195207,0.5109727740952191,0.6,1,0.6,1,0.6,1,0.6,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,5,0.3456966932830069,0.5772620535001037,inf,0,inf,0,inf,0,0.56,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,6,0.19317093803915053,0.5586837958338742,inf,0,inf,0,0.88,1,0.88,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,7,-0.32470400003676314,-0.04609886933242571,0.28,1,0.28,1,0.28,1,0.16,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,8,0.3340417486095107,0.6178506856762597,inf,0,inf,0,inf,0,0.96,1
0,True,20,"(50.0, 80.0)",500,2,0,30.0,110.0,100.0,5.0,1000,495.0,10.0,40,9,-0.38267987866902825,-0.14481877940315452,0.16,1,0.16,1,0.16,1,0.16,1
