DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(2.0, 2.0)",500,0,-0.035938936340844815,0.01586548869903668,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,1,-0.09007075654119746,-0.02987917816401528,0.1,1,0.08,1,0.06,1,0.04,1
0,True,10,"(2.0, 2.0)",500,2,0.05960200141904893,0.1178930505882684,inf,0,0.08,1,0.08,1,0.04,1
0,True,10,"(2.0, 2.0)",500,3,-0.0975185259035673,-0.03247544070232463,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,4,-0.03903501998769647,0.0025263808118113906,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,5,-0.03496365553001931,0.02980855989287675,0.1,1,0.06,1,0.06,1,0.06,1
0,True,10,"(2.0, 2.0)",500,6,0.013825927360685369,0.07313327216906569,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,"(2.0, 2.0)",500,7,-0.06313762344392851,0.027759655908370644,0.1,1,0.1,1,0.1,1,0.08,1
0,True,10,"(2.0, 2.0)",500,8,0.006758145797182431,0.05054878882330865,0.08,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,9,0.03068010876857855,0.07908164258376994,0.12,1,0.1,1,0.04,1,0.04,1
