DesignPt#,crn_across_solns,sample_size,initial_solution,budget,installation_costs,epsilon,cov,n_fac,mean_vec,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",0,0.3673974456482831,0.4065456254184196,inf,0,inf,0,inf,0,0.071,1
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",1,0.25153346924714554,0.50991812632971,inf,0,inf,0,inf,0,0.456,1
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",2,0.5469618019750921,0.6984432136232963,inf,0,inf,0,inf,0,inf,0
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",3,0.28385935987925653,0.32508997948993107,inf,0,inf,0,inf,0,0.07,1
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",4,0.4945156360256435,0.568592122420097,inf,0,inf,0,inf,0,0.197,1
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",5,0.5183696889085871,0.5328185982413295,inf,0,inf,0,inf,0,inf,0
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",6,0.0,0.054904531716463326,0.163,1,0.163,1,0.029,1,0.029,1
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",7,0.634221322312097,0.6830604554271217,inf,0,inf,0,inf,0,inf,0
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",8,0.5094073969690708,0.5282832687016705,inf,0,inf,0,inf,0,inf,0
0,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,"[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,"[100, 100, 100]",9,0.5946054513777986,0.723858267977015,inf,0,inf,0,inf,0,inf,0
