DesignPt#,crn_across_solns,sample_size,initial_solution,budget,installation_costs,installation_budget,mean_vec,cov,n_fac,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,0,0.009009009009009016,0.01234234234234235,0.003,1,0.003,1,0.003,1,0.003,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,1,0.009009009009009016,0.01075675675675676,0.017,1,0.017,1,0.017,1,0.004,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,2,0.009009009009009016,0.24171171171171174,0.037,1,0.037,1,0.037,1,0.028,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,3,-0.35135135135135126,-0.10324324324324316,0.228,1,0.228,1,0.228,1,0.228,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,4,-0.35135135135135126,-0.2791891891891891,0.04,1,0.04,1,0.04,1,0.031,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,5,0.009009009009009016,0.015945945945945953,0.007,1,0.007,1,0.007,1,0.007,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,6,0.3693693693693695,0.4654954954954955,inf,0,inf,0,inf,0,0.183,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,7,0.009009009009009016,0.08036036036036039,0.186,1,0.186,1,0.186,1,0.009,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,8,0.009009009009009016,0.08954954954954956,0.11,1,0.11,1,0.11,1,0.109,1
0,True,10,"(100.0, 100.0, 100.0)",10000,"(1.0, 1.0, 1.0)",500.0,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",3,9,0.3693693693693695,0.6144144144144144,inf,0,inf,0,inf,0,0.677,1
