DesignPt#,crn_across_solns,sample_size,initial_solution,budget,cost,lambda,people,warmup,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(5.0,)",500,0.1,1.5,50,20,0,-0.022224925365504994,0.01958676728745285,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,1,-0.04022000722520999,0.021447004715881283,0.1,1,0.1,1,0.06,1,0.04,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,2,0.0007822758705614152,0.07559979025742397,0.18,1,0.18,1,0.04,1,0.04,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,3,0.24623391221465218,0.35525865288608033,inf,0,inf,0,0.16,1,0.16,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,4,0.03158621608916622,0.1284275944802496,0.1,1,0.1,1,0.1,1,0.1,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,5,0.20316505242159255,0.26678359566955323,inf,0,inf,0,inf,0,0.08,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,6,0.0,-0.010664826082800644,0.06,1,0.06,1,0.06,1,0.04,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,7,0.057696763469368195,0.23301180043721859,inf,0,0.24,1,0.22,1,0.22,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,8,0.08617724037801179,0.23280955550241583,inf,0,0.68,1,0.2,1,0.2,1
0,True,10,"(5.0,)",500,0.1,1.5,50,20,9,0.09876867014605302,0.20007146180460444,inf,0,0.32,1,0.12,1,0.12,1
