DesignPt#,crn_across_solns,sample_size,initial_solution,budget,arc_costs,num_nodes,arcs,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,103,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.42985276793210453,0.412,1,0.412,1,0.412,1,0.412,1
0,True,103,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.23910663709731325,0.5525947026132202,inf,0,inf,0,inf,0,0.412,1
1,True,22,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.11569000740489685,0.088,1,0.088,1,0.088,1,0.088,1
1,True,22,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.10403379639695828,0.3158952955090807,inf,0,inf,0,0.616,1,0.22,1
2,True,42,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.19326105938692345,0.168,1,0.168,1,0.168,1,0.168,1
2,True,42,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.05768457993372762,0.5247122961547172,inf,0,0.924,1,0.924,1,0.504,1
3,True,62,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.27083211136895,0.248,1,0.248,1,0.248,1,0.248,1
3,True,62,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.14930936431822303,0.3602806419673037,inf,0,inf,0,0.248,1,0.248,1
4,True,244,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.976728684405392,0.976,1,0.976,1,0.976,1,0.976,1
4,True,244,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
