DesignPt#,crn_across_solns,sample_size,initial_solution,budget,backorder_cost,holding_cost,variable_cost,lead_mean,n_days,warmup,demand_mean,fixed_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,103,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,-0.019708840770012177,0.28950053628116873,0.721,1,0.721,1,0.4635,1,0.1545,1
0,True,103,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,0.009332715183276625,0.16618706788272958,0.5665,1,0.5665,1,0.103,1,0.103,1
1,True,22,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,-0.019708840770012177,0.04642021414215007,0.154,1,0.154,1,0.099,1,0.033,1
1,True,22,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,0.03487062726919197,0.026251146801222616,0.022,1,0.022,1,0.022,1,0.022,1
2,True,42,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,-0.019708840770012177,0.10637653627998392,0.294,1,0.294,1,0.189,1,0.063,1
2,True,42,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,-0.04868806861806648,0.019546462125155636,0.063,1,0.063,1,0.063,1,0.063,1
3,True,62,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,-0.019708840770012177,0.16665485943699054,0.434,1,0.434,1,0.279,1,0.093,1
3,True,62,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,-0.039333152150482095,0.057964370592150385,0.093,1,0.093,1,0.093,1,0.062,1
4,True,244,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,0.35207630136544144,0.5882810387719024,inf,0,inf,0,inf,0,0.366,1
4,True,244,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,-0.05446306374496015,0.7174038989163507,0.732,1,0.732,1,0.732,1,0.732,1
5,True,324,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,0.35207630136544144,0.665725214970742,inf,0,inf,0,inf,0,0.486,1
5,True,324,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,0.0960365622920694,0.471916674397774,inf,0,0.486,1,0.486,1,0.486,1
6,True,203,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,0.12467013715384063,0.5289202652656936,inf,0,inf,0,0.9135,1,0.3045,1
6,True,203,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,-0.05446306374496015,0.4806769411056071,0.5075,1,0.5075,1,0.5075,1,0.5075,1
7,True,183,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,0.12467013715384063,0.4890926664369396,inf,0,inf,0,0.8235,1,0.2745,1
7,True,183,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,1,-0.05446306374496015,0.3314704175856953,0.366,1,0.366,1,0.366,1,0.366,1
8,True,163,"(600, 600)",2000,4.0,1.0,2.0,6.0,100,20,90.0,25,0,0.12467013715384063,0.44926506760818563,inf,0,inf,0,0.7335,1,0.2445,1
