DesignPt#,crn_across_solns,alpha,gamma,step,gavg,n_reps,n_loss,eval_pct,iter_pct,initial_solution,budget,sales_price,Burr_k,purchase_price,salvage_price,Burr_c,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1000,15,20.0,10,1.0,2.0,0,0.7237181488407414,0.7585288392051728,inf,0,inf,0,inf,0,inf,0
0,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1000,15,20.0,10,1.0,2.0,1,0.3149818363511824,0.39341512971886605,0.14,1,0.14,1,0.14,1,0.14,1
0,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1000,15,20.0,10,1.0,2.0,2,-1.840770072235512,-0.5981072114113083,0.14,1,0.14,1,0.14,1,0.14,1
0,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1000,15,20.0,10,1.0,2.0,3,0.1225221512163303,0.24768133319682578,inf,0,inf,0,0.14,1,0.14,1
0,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1000,15,20.0,10,1.0,2.0,4,-0.5914411866832652,-0.35239212661642055,0.14,1,0.14,1,0.14,1,0.14,1
1,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1500,25,20.0,5,1.0,2.0,0,0.33495857462530476,0.3895743419687888,inf,0,inf,0,inf,0,0.09333333333333334,1
1,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1500,25,20.0,5,1.0,2.0,1,0.4939308488731975,0.5104982872460155,inf,0,inf,0,inf,0,0.09333333333333334,1
1,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1500,25,20.0,5,1.0,2.0,2,-0.6104470590222402,-0.3842716659909456,0.12,1,0.12,1,0.09333333333333334,1,0.09333333333333334,1
1,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1500,25,20.0,5,1.0,2.0,3,0.08868932237776632,0.18729906936286075,inf,0,0.25333333333333335,1,0.14666666666666667,1,0.09333333333333334,1
1,True,0.602,0.101,0.1,1,20,3,0.6666666666666666,0.1,"(0,)",1500,25,20.0,5,1.0,2.0,4,0.31823364325651043,0.34630994716652475,inf,0,inf,0,0.12,1,0.09333333333333334,1
