DesignPt#,crn_across_solns,n0,n_r,sensitivity,delta_threshold,delta_T,eta_0,eta_1,gamma_1,gamma_2,lambda,lambda_2,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,0,-0.042200139684204864,0.05398303138459293,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,1,-0.09193546077670596,0.007182782296218382,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,2,0.05531928390103078,0.14578864220726695,inf,0,0.55,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,3,-0.09898230098863177,0.0007100020214323224,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,4,-0.04468103869834018,0.051536137007712826,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,5,-0.04303449122714689,0.05332029477862481,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,6,0.001506105415820068,0.09492614912282123,0.55,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,7,-0.06559933005026149,0.03209618875510586,0.06,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,8,0.005515597814291963,0.09861935762489107,0.55,1,0.06,1,0.06,1,0.06,1
0,True,10,10,1e-07,1.2,2.0,0.01,0.3,0.9,1.11,2,1.01,"(2.0, 2.0)",1000,9,0.02863074795968272,0.12026273274814459,0.55,1,0.55,1,0.06,1,0.06,1
