DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,purchase_price,sales_price,Burr_k,Burr_c,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,0,-0.0,0.95,1.0,1,1.0,1,1.0,1,1.0,1
0,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,1,-0.0,0.95,1.0,1,1.0,1,1.0,1,1.0,1
0,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,2,-0.0,0.95,1.0,1,1.0,1,1.0,1,1.0,1
0,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,3,-0.0,0.95,1.0,1,1.0,1,1.0,1,1.0,1
0,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,4,-0.0,0.95,1.0,1,1.0,1,1.0,1,1.0,1
1,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,0,1.4575194483649905,-2.911863896674336,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1
1,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,1,1.4575194483649905,-3.46175915900535,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1
1,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,2,1.4575194483649905,-2.9062691875066236,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1
1,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,3,1.6565083223795567,-2.160767830728724,0.13333333333333333,1,0.13333333333333333,1,0.13333333333333333,1,0.13333333333333333,1
1,True,0.5,0.75,1.5,0.5,50,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,4,-0.5940084858823955,-0.937179229977278,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1,0.23333333333333334,1
2,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,0,-0.0,0.92,1.0,1,1.0,1,1.0,1,1.0,1
2,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,1,-0.0,0.92,1.0,1,1.0,1,1.0,1,1.0,1
2,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,2,-0.0,0.92,1.0,1,1.0,1,1.0,1,1.0,1
2,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,3,-0.0,0.92,1.0,1,1.0,1,1.0,1,1.0,1
2,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1000,10,15,20.0,2.0,1.0,4,-0.0,0.92,1.0,1,1.0,1,1.0,1,1.0,1
3,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,0,-2.4094376491724847,0.5920851511527283,0.896,1,0.896,1,0.896,1,0.896,1
3,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,1,1.4575194483649905,-5.637741072947687,0.37333333333333335,1,0.37333333333333335,1,0.37333333333333335,1,0.37333333333333335,1
3,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,2,0.0,0.8268521170912619,0.5333333333333333,1,0.5333333333333333,1,0.5333333333333333,1,0.5333333333333333,1
3,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,3,1.4575194483649905,-7.105005167345796,0.21333333333333335,1,0.21333333333333335,1,0.21333333333333335,1,0.21333333333333335,1
3,True,0.3,0.4,1.5,0.5,80,True,True,0.1,"(0,)",1500,5,25,20.0,2.0,1.0,4,1.4575194483649905,-5.577833075247441,0.21333333333333335,1,0.21333333333333335,1,0.21333333333333335,1,0.21333333333333335,1
