design_num	sample_size	crn_across_solns	name	design_type	num_stacks
0	16	True	RNDSRCH	nolhs	1
1	11	True	RNDSRCH	nolhs	1
2	12	True	RNDSRCH	nolhs	1
3	14	True	RNDSRCH	nolhs	1
4	25	True	RNDSRCH	nolhs	1
5	30	True	RNDSRCH	nolhs	1
6	22	True	RNDSRCH	nolhs	1
7	21	True	RNDSRCH	nolhs	1
8	20	True	RNDSRCH	nolhs	1
9	24	True	RNDSRCH	nolhs	1
10	29	True	RNDSRCH	nolhs	1
11	28	True	RNDSRCH	nolhs	1
12	26	True	RNDSRCH	nolhs	1
13	15	True	RNDSRCH	nolhs	1
14	10	True	RNDSRCH	nolhs	1
15	18	True	RNDSRCH	nolhs	1
16	19	True	RNDSRCH	nolhs	1
