DesignPt#,sample_size,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.10-Solve Time,0.10-Solved? (Y/N),0.20-Solve Time,0.20-Solved? (Y/N),0.50-Solve Time,0.50-Solved? (Y/N)
0,13,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.41421093774671647,inf,0,inf,0,inf,0,0.143,1
0,13,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.06695066818541387,0.12759887475336196,inf,0,0.065,1,0.065,1,0.065,1
1,7,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.4362413256545071,0.4139273955221078,inf,0,inf,0,inf,0,0.077,1
1,7,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.10470519668809404,0.1378614125492319,inf,0,0.084,1,0.084,1,0.035,1
2,8,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.3742732479791696,0.3971840590987915,inf,0,inf,0,inf,0,0.088,1
2,8,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.10878953472384818,0.15438057281369563,inf,0,0.24,1,0.048,1,0.048,1
3,10,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.4640026574135712,0.40380905597304106,inf,0,inf,0,inf,0,0.11,1
3,10,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.07825456992858576,0.11230550532468575,inf,0,0.03,1,0.03,1,0.03,1
4,24,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.49123199988641714,inf,0,inf,0,inf,0,0.264,1
4,24,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.06695066818541387,0.4922622441728726,inf,0,0.96,1,0.96,1,0.336,1
5,30,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.5332434883262538,inf,0,inf,0,inf,0,0.33,1
5,30,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.16159629600363593,0.28735685160309055,inf,0,inf,0,0.15,1,0.15,1
6,21,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.4702262556664988,inf,0,inf,0,inf,0,0.231,1
6,21,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.06695066818541387,0.3999896126574958,inf,0,0.714,1,0.714,1,0.168,1
7,19,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.4562224261865532,inf,0,inf,0,inf,0,0.209,1
7,19,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.11766087557001842,0.28505792361363597,inf,0,0.551,1,0.551,1,0.057,1
8,18,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.44922051144658043,inf,0,inf,0,inf,0,0.198,1
8,18,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.11766087557001842,0.3157843317673257,inf,0,0.468,1,0.468,1,0.198,1
9,22,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.47722817040647153,inf,0,inf,0,inf,0,0.242,1
9,22,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.06695066818541387,0.456902780613151,inf,0,0.792,1,0.792,1,0.22,1
10,28,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.5192396588463083,inf,0,inf,0,inf,0,0.308,1
10,28,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.45025268027304677,0.27012484986289276,inf,0,inf,0,0.084,1,0.084,1
11,27,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.5122377441063355,inf,0,inf,0,inf,0,0.297,1
11,27,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.3571808203414573,0.4919829460501207,inf,0,inf,0,inf,0,0.108,1
12,25,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.4982339146263899,inf,0,inf,0,inf,0,0.275,1
12,25,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.3571808203414573,0.44985664442210743,inf,0,inf,0,inf,0,0.05,1
13,11,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.3742732479791696,0.4057756132686498,inf,0,inf,0,inf,0,0.121,1
13,11,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.08631950558802397,0.12214902848560918,inf,0,0.132,1,0.033,1,0.033,1
14,5,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.5478493607244499,0.6160289031927816,inf,0,inf,0,inf,0,0.055,1
14,5,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.11353073635146668,0.17091788468543445,inf,0,inf,0,0.06,1,0.06,1
15,14,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.4212128524866894,inf,0,inf,0,inf,0,0.154,1
15,14,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.08992327759785367,0.1757068225432167,inf,0,0.14,1,0.14,1,0.14,1
16,16,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,0,0.32318604612707036,0.4352166819666348,inf,0,inf,0,inf,0,0.176,1
16,16,5.0,9.0,1.0,0.2142919985262445,2.0,20.0,1,0.11766087557001842,0.26131310782927597,inf,0,0.304,1,0.304,1,0.064,1
