         245311425 function calls (244947111 primitive calls) in 213.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 50619000   78.783    0.000   78.783    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:98(mrg32k3a)
 50619000   27.568    0.000  123.355    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:277(random)
   466700   21.006    0.000  144.360    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\random.py:399(<listcomp>)
  1968865   13.188    0.000   13.188    0.000 {built-in method numpy.array}
 50765663   13.146    0.000   17.099    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:230(seed)
  1055095   10.887    0.000   10.887    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:601(<listcomp>)
  1805394    5.996    0.000    5.996    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    35900    5.218    0.000  192.091    0.005 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:537(bootstrap_sample)
53705567/53704510    4.249    0.000    4.249    0.000 {built-in method builtins.len}
  1149392    4.109    0.000   22.225    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:134(_mean)
  1149392    2.671    0.000   24.896    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:3231(mean)
   603583    2.365    0.000    9.610    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:77(lookup)
2776385/2463820    1.713    0.000   35.209    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1149467    1.594    0.000    1.762    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_methods.py:50(_count_reduce_items)
   531819    1.285    0.000    1.441    0.000 {built-in method builtins.sum}
   649040    1.113    0.000    4.645    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   466700    0.879    0.000  145.299    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\random.py:386(choices)
  1149392    0.784    0.000   26.560    0.000 <__array_function__ internals>:2(mean)
    23159    0.684    0.000    2.728    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:3846(_quantile_ureduce_func)
    35900    0.637    0.000    0.637    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:575(<listcomp>)
        9    0.633    0.070    0.633    0.070 {built-in method _tkinter.create}
    35900    0.600    0.000    0.600    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:566(<listcomp>)
   359000    0.567    0.000    0.567    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:605(<listcomp>)
   610906    0.550    0.000    4.984    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:2551(amax)
  1267037    0.447    0.000   12.687    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_asarray.py:88(asanyarray)
   149764    0.439    0.000    0.439    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\matmodops.py:68(mat31_mod)
   359000    0.426    0.000    0.426    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:604(<listcomp>)
  2469965    0.419    0.000    0.427    0.000 {built-in method builtins.isinstance}
   149764    0.388    0.000    0.836    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\matmodops.py:18(mat33_mat31_mult)
   397120    0.356    0.000    0.468    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:70(__init__)
   231590    0.349    0.000    0.546    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1277(normalize_axis_tuple)
   115795    0.348    0.000    1.053    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1340(moveaxis)
  2432367    0.344    0.000    0.344    0.000 {built-in method builtins.issubclass}
   610906    0.333    0.000    5.641    0.000 <__array_function__ internals>:2(amax)
   603583    0.330    0.000    0.789    0.000 <__array_function__ internals>:2(where)
   356030    0.315    0.000    0.315    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:98(compute_crossing_time)
   745672    0.310    0.000    0.333    0.000 {built-in method builtins.getattr}
  1167006    0.305    0.000    0.305    0.000 {built-in method builtins.hasattr}
   449292    0.304    0.000    0.304    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\matmodops.py:37(<listcomp>)
  2011000    0.274    0.000    0.274    0.000 {method 'append' of 'list' objects}
     2458    0.268    0.000    0.268    0.000 {built-in method nt.stat}
    71800    0.266    0.000    1.543    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:431(advance_subsubstream)
     1673    0.262    0.000    0.262    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   649040    0.259    0.000    0.259    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
  773/729    0.251    0.000    0.643    0.001 {method 'call' of '_tkinter.tkapp' objects}
       75    0.202    0.003    0.220    0.003 {built-in method _pickle.load}
       19    0.193    0.010  208.889   10.994 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:929(bootstrap_procedure)
      114    0.191    0.002    0.191    0.002 {built-in method io.open}
        9    0.182    0.020    0.182    0.020 {built-in method matplotlib._png.write_png}
       94    0.174    0.002    0.179    0.002 {built-in method _imp.create_dynamic}
  1149392    0.174    0.000    0.174    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:3227(_mean_dispatcher)
   898909    0.156    0.000    0.156    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:258(<genexpr>)
     1900    0.134    0.000  192.332    0.101 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:894(bootstrap_sample_all)
    20394    0.126    0.000    0.206    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\arraysetops.py:298(_unique1d)
    23159    0.105    0.000    0.247    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:3833(_quantile_is_valid)
    17953    0.102    0.000    2.001    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:239(cdf_of_curves_crossing_times)
   603583    0.092    0.000    0.092    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\multiarray.py:312(where)
    23159    0.088    0.000    2.897    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:3352(_ureduce)
   610906    0.085    0.000    0.085    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:2546(_amax_dispatcher)
   704906    0.083    0.000    0.083    0.000 {method 'items' of 'dict' objects}
      669    0.082    0.000    0.082    0.000 {built-in method io.open_code}
       75    0.079    0.001    0.368    0.005 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:736(read_experiment_results)
   231590    0.076    0.000    0.125    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1327(<listcomp>)
      551    0.075    0.000    0.075    0.000 {built-in method marshal.loads}
   115795    0.069    0.000    1.204    0.000 <__array_function__ internals>:2(moveaxis)
    23159    0.068    0.000    0.068    0.000 {method 'partition' of 'numpy.ndarray' objects}
    53782    0.064    0.000    0.064    0.000 {method 'take' of 'numpy.ndarray' objects}
    17650    0.064    0.000    0.220    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:281(<listcomp>)
    17953    0.062    0.000    1.359    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:258(<listcomp>)
   115795    0.055    0.000    0.055    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    17650    0.055    0.000    2.789    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:263(quantile_cross_jump)
     1274    0.053    0.000    0.270    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\stats\_distn_infrastructure.py:1970(ppf)
    46318    0.053    0.000    0.133    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numerictypes.py:365(issubdtype)
    17953    0.052    0.000    0.211    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:256(<listcomp>)
    92636    0.051    0.000    0.075    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numerictypes.py:293(issubclass_)
       18    0.051    0.003    0.169    0.009 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\cbook\__init__.py:415(open_file_cm)
      669    0.050    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
   118317    0.050    0.000    0.051    0.000 {built-in method builtins.sorted}
   232484    0.049    0.000    0.049    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    44277    0.047    0.000    0.047    0.000 {method 'flatten' of 'numpy.ndarray' objects}
89597/73215    0.044    0.000    0.078    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:217(stale)
